Level,Status,Mode,Gender,Licence,Work,Car_Avail,Family,Cars,Children,Adults,Income,Time.Auto,Time.Transit,Time.Active
UG,FT,Active,Male,1,Other,1,Roommates,0,0,3,Low,2.141326,19.940688,19.27866
UG,FT,Transit,Male,1,Other,0,Family,2,2,3,High,88.53589000000001,125.59295,626.6408999999999
UG,FT,Transit,Female,0,Other,0,Family,2,1,4,Unknown,54.67905,133.365501,385.8555
UG,FT,Transit,Female,1,PT,1,Roommates,0,0,6,Unknown,9.638221000000001,34.536596,55.197585000000004
Grad,FT,Active,Male,0,Other,0,Roommates,0,0,3,High,1.117177,20.195869,11.101709999999999
UG,FT,Active,Male,0,Other,0,Roommates,1,1,3,Unknown,0.0,0.0,0.0
UG,FT,Transit,Male,0,Other,0,Family,2,1,4,Unknown,56.19446,126.74985,368.2065
Grad,FT,Transit,Female,0,Other,0,Roommates,0,0,2,Low,26.9185,39.01859,180.08610000000002
UG,FT,Transit,Female,1,Other,0,Family,2,1,4,Unknown,43.24969,130.64222900000001,310.2468
UG,FT,Transit,Male,0,PT,0,Family,1,1,3,High,32.571740000000005,69.622366,212.3673
UG,FT,Active,Female,1,Other,1,Family,2,2,3,Unknown,78.52228000000001,122.85326,598.2861
UG,FT,Active,Male,0,Other,0,Roommates,0,0,3,Unknown,1.464106,25.325449,14.598600000000001
UG,FT,Transit,Male,1,Other,0,Family,0,1,2,Unknown,31.373890000000003,72.71069200000001,199.884
Grad,FT,Transit,Female,0,Other,0,Family,0,2,2,Low,2.168042,23.855995999999998,19.46616
UG,FT,Transit,Female,0,PT,0,Family,1,0,3,Unknown,7.019825999999999,31.444467,96.208185
Other,Other,Active,Male,1,Other,1,Other,0,0,1,Unknown,2.168042,23.855995999999998,19.46616
Grad,PT,Transit,Male,1,Other,0,Other,1,0,3,Unknown,3.2369220000000003,21.681383,26.183565
Grad,FT,Transit,Female,1,Other,0,Other,1,0,2,Unknown,5.704483,36.318000000000005,56.28550500000001
Grad,FT,Transit,Female,0,Other,0,Family,0,0,2,Unknown,38.02369,69.37563,238.95075
UG,FT,Active,Female,1,PT,0,Roommates,0,0,3,Unknown,2.924953,24.128386,16.985265000000002
UG,FT,Active,Female,0,Other,0,Other,0,0,1,Unknown,1.710853,20.776487,15.946485
UG,FT,Auto,Female,1,Other,1,Family,2,0,6,High,59.263980000000004,176.51618100000005,657.8274
UG,PT,Auto,Female,1,Other,0,Other,2,0,4,Unknown,0.0,0.0,0.0
UG,FT,Auto,Female,1,Other,0,Roommates,2,0,4,Unknown,9.900758999999999,45.887638,110.07012
UG,FT,Transit,Female,0,PT,0,Family,1,1,3,Unknown,16.34346,58.225728,172.3128
Grad,FT,Active,Male,0,Other,0,Other,2,0,1,Low,35.95232,71.095504,240.5175
UG,FT,Transit,Female,1,Other,1,Family,2,0,5,Unknown,58.12973,160.45126000000002,426.17025
UG,FT,Auto,Female,0,Other,0,Family,2,0,6,Unknown,11.417910000000001,64.48275799999999,98.16511499999999
Grad,FT,Active,Male,0,Other,0,Roommates,0,0,4,Unknown,1.117177,20.195869,11.101709999999999
UG,FT,Active,Female,0,Other,0,Roommates,0,0,4,Unknown,0.0,0.0,0.0
UG,FT,Transit,Female,0,Other,0,Family,2,1,3,Unknown,75.81084,138.06521,771.7502999999999
Grad,FT,Active,Male,0,Other,0,Roommates,1,0,3,Low,1.464106,25.325449,14.598600000000001
UG,PT,Transit,Male,1,Other,1,Family,2,0,4,Unknown,56.21034,142.68010800000002,406.2063
UG,PT,Transit,Female,0,Other,0,Family,1,0,4,High,17.88877,71.55026699999998,225.87225
UG,FT,Transit,Male,0,Other,0,Family,1,1,2,Unknown,24.70085,197.618433,165.3153
Grad,FT,Active,Male,0,Other,0,Other,0,0,2,Unknown,2.168042,23.855995999999998,19.46616
UG,PT,Transit,Female,0,Other,0,Family,1,4,2,Unknown,4.58473,33.84206399999999,49.847955
UG,FT,Transit,Female,0,Other,0,Family,1,0,3,Low,33.99152,70.74282,219.79785
UG,FT,Active,Female,1,Other,0,Roommates,0,0,1,Low,1.9089990000000001,17.573247000000002,19.08999
UG,FT,Active,Female,1,Other,1,Other,0,0,1,Low,0.0,0.0,0.0
UG,FT,Active,Female,1,PT,1,Roommates,0,0,3,Unknown,1.710853,20.776487,15.946485
UG,FT,Active,Male,1,Other,0,Roommates,0,0,3,Unknown,2.49745,26.741172,26.414505000000002
UG,FT,Auto,Female,1,Other,0,Family,2,0,3,High,3.9527059999999996,25.654187,40.859745
Grad,FT,Active,Male,1,Other,0,Other,0,0,2,Low,1.9141869999999999,23.859148,17.990325000000002
Grad,FT,Active,Female,0,Other,0,Other,0,0,2,Unknown,2.168042,23.855995999999998,19.46616
