Origin,Sample_TopSchool,SC_Sample_Prob,SG_Sample_Prob,MI_Sample_Prob,OC_Sample_Prob,RY_Sample_Prob,YK_Sample_Prob,YG_Sample_Prob,SC_Family_Prob,SG_Family_Prob,MI_Family_Prob,OC_Family_Prob,RY_Family_Prob,YK_Family_Prob,YG_Family_Prob,SC_NonFam_Prob,SG_NonFam_Prob,MI_NonFam_Prob,OC_NonFam_Prob,RY_NonFam_Prob,YK_NonFam_Prob,YG_NonFam_Prob,Grav_Pred,SG_Norm_Grav,MI_Norm_Grav,OC_Norm_Grav,RY_Norm_Grav,SC_Norm_Grav,YG_Norm_Grav,YK_Norm_Grav,HZ_Pred,MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,Dist_Pred,MI_Norm_Dist,OC_Norm_Dist,RY_Norm_Dist,SC_Norm_Dist,SG_Norm_Dist,YG_Norm_Dist,YK_Norm_Dist,Zone,Resid_SG,Resid_MI,Resid_OC,Resid_RY,Resid_SC,Resid_YG,Resid_YK
1004,RY,0,0,0,0,5.148728666,0,0,0,0,0,0,4.342708333,0,0,,,,,,,,SC,0.541534298,0.10918781,0.533038049,0.572307738,5.35785179,1.251803921,1.073287872,YK,0,0,0,0,1.194380332,0,2.444727525,SC,0.11109062,0.086066958,1.304509162,3.611039021,0.591707163,2.203333791,0.874232367,1004,0.211125245,0.020709424,0.020681306,-0.848665438,0.307356033,0.02423991,0.264553521
1005,,,,,,,,,,,,,,,,,,,,,,,SC,0.578221555,0.102292685,0.569149184,0.611079796,5.720824211,1.139566372,0.850104165,YK,0,0,0,0,1.194380332,0,2.444727525,YK,0,0,1.510144738,1.542673882,0.591803547,0.053345363,1.67162632,,,,,,,,
1006,,,,,,,,,,,,,,,,,,,,,,,SC,0.59354758,0.105004095,0.58423528,0.627276744,5.872462698,1.169771121,0.747136929,YK,0,0,0,0,1.194380332,0,2.444727525,RY,0,0.645502183,3.232991258,1.006954819,0.400606211,0,0.550254695,,,,,,,,
1007,,,,,,,,,,,,,,,,,,,,,,,SC,0.593766675,0.105042846,0.584450942,0.627508293,5.874630401,1.170204016,0.745664856,YK,0,0,0,0,1.194380332,0,2.444727525,SG,0,3.114548035,0.521523308,3.657774608,0.857633823,0.572462423,0.82760103,,,,,,,,
1008,,,,,,,,,,,,,,,,,,,,,,,SC,0.527641752,0.115049078,0.519363472,0.557625726,5.287822195,1.319001624,1.130902691,YK,0,0,0,0,1.194380332,0,2.444727525,RY,0.020555298,1.15421938,1.466642608,3.620343053,0.53011564,2.105776439,0.720694922,,,,,,,,
1009,,,,,,,,,,,,,,,,,,,,,,,SC,0.527641752,0.115049078,0.519363472,0.557625726,5.287822195,1.319001624,1.130902691,YK,0,0,0,0,1.194380332,0,2.444727525,RY,0.020555298,1.437779268,1.553930461,3.469106038,0.495555665,2.429658998,0.683636515,,,,,,,,
1010,,,,,,,,,,,,,,,,,,,,,,,SC,0.541534298,0.10918781,0.533038049,0.572307738,5.35785179,1.251803921,1.073287872,YK,0,0,0,0,1.194380332,0,2.444727525,SC,0.373187285,0,0.502242624,5.350348951,0.730657917,2.070869096,0.691051543,,,,,,,,
1011,,,,,,,,,,,,,,,,,,,,,,,SC,0.564240122,0.099819237,0.555387109,0.5963033,5.582494323,1.11201159,0.944036507,YK,0,0,0,0,1.194380332,0,2.444727525,YK,0.062776483,0,0.627856071,2.80725186,0.592847662,4.518047196,1.558050009,,,,,,,,
1012,,,,,,,,,,,,,,,,,,,,,,,SC,0.561031042,0.099251612,0.552228893,0.592911864,5.550744269,1.123972178,0.963686704,YK,0,0,0,0,1.194380332,0,2.444727525,YK,0.074417792,2.208155386,0.78477685,2.65784538,0.58637343,0.86043982,1.532383415,,,,,,,,
1013,,,,,,,,,,,,,,,,,,,,,,,SC,0.553505048,0.102361584,0.544820464,0.584958741,5.476283369,1.173544522,1.006188808,YK,0,0,0,0,1.194380332,0,2.444727525,RY,0.077913648,2.999419507,1.378318136,3.549154783,0.456434857,1.85152863,0.706463096,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,,,,SC,0.563697978,0.099723328,0.554853473,0.59573035,5.577130467,1.110942117,0.947678902,YK,0,0,0,0,1.194380332,0,2.444727525,SG,0.155631321,0.032275109,0.848136526,3.627668657,0.979711447,2.603475971,0.496937909,,,,,,,,
1015,,,,,,,,,,,,,,,,,,,,,,,SC,0.564470776,0.099860037,0.555614165,0.596547062,5.584776385,1.112466159,0.942486897,YK,0,0,0,0,1.194380332,0,2.444727525,YK,0.057531147,0,0.50446025,1.949768795,0.493991489,3.037756682,2.314121911,,,,,,,,
1016,,,,,,,,,,,,,,,,,,,,,,,SC,0.574835277,0.101693715,0.565816553,0.60750109,5.687326243,1.132893704,0.872852238,YK,0,0,0,0,1.194380332,0,2.444727525,RY,0.066286181,0,1.591345136,3.922355621,0.51550004,4.580239191,0.426670094,,,,,,,,
1017,,,,,,,,,,,,,,,,,,,,,,,SC,0.596645799,0.105552195,0.58728489,0.630551027,5.903115971,1.175878219,0.72632196,YK,0,0,0,0,1.194380332,0,2.444727525,SG,0.03651138,0,0.580007886,1.635750628,0.934062758,3.129016318,1.506388299,,,,,,,,
1018,,,,,,,,,,,,,,,,,,,,,,,SC,0.602484833,0.10658517,0.593032313,0.636721871,5.96088642,1.187384781,0.68709351,YK,0,0.193650655,0.46338558,0.273487512,0.083960575,0,4.024567585,YK,0.013132552,0,0.307625393,1.561320669,0.514139146,1.890525399,2.72413623,,,,,,,,
1019,,,,,,,,,,,,,,,,,,,,,,,SC,0.602617182,0.106608588,0.593162575,0.636861741,5.962195865,1.187645597,0.686204351,YK,0,0.193650655,0.46338558,0.273487512,0.083960575,0,4.024567585,SG,0,0.422650239,1.479769136,0.198278446,1.466605444,0.090687117,0.421846832,,,,,,,,
1020,,,,,,,,,,,,,,,,,,,,,,,SC,0.564493255,0.099864103,0.55563679,0.596571369,5.585003967,1.112511503,0.942333357,YK,0,0.193650655,1.184207593,0.273487512,0.083960575,0,3.36169763,YK,0,0.696988667,0.811391545,0.118335943,0.234161538,0.317404908,3.363288899,,,,,,,,
