Origin,Sample_TopSchool,SC_Sample_Prob,SG_Sample_Prob,MI_Sample_Prob,OC_Sample_Prob,RY_Sample_Prob,YK_Sample_Prob,YG_Sample_Prob,SC_Family_Prob,SG_Family_Prob,MI_Family_Prob,OC_Family_Prob,RY_Family_Prob,YK_Family_Prob,YG_Family_Prob,SC_NonFam_Prob,SG_NonFam_Prob,MI_NonFam_Prob,OC_NonFam_Prob,RY_NonFam_Prob,YK_NonFam_Prob,YG_NonFam_Prob,Grav_Pred,SG_Norm_Grav,MI_Norm_Grav,OC_Norm_Grav,RY_Norm_Grav,SC_Norm_Grav,YG_Norm_Grav,YK_Norm_Grav,HZ_Pred,MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,Dist_Pred,MI_Norm_Dist,OC_Norm_Dist,RY_Norm_Dist,SC_Norm_Dist,SG_Norm_Dist,YG_Norm_Dist,YK_Norm_Dist
1005,,,,,,,,,,,,,,,,,,,,,,,SC,0.577695673110064,0.10632249356424582,0.5669275013596491,0.6081546508912967,5.684125060797034,1.1513517328125,0.8471582834631477,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,YK,0.0,0.0,1.5029159056476729,1.5327776123940866,0.5912653125105855,0.05389705882352941,1.665833602963423
1006,,,,,,,,,,,,,,,,,,,,,,,SC,0.5930077593840458,0.10914071886033519,0.5819547086403509,0.6242740664452988,5.83479078557924,1.18186885925,0.7445478617701963,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,RY,0.0,0.6429824561403509,3.2175154233315726,1.000495193201403,0.4002418668507528,0.0,0.548347887852233
1007,,,,,,,,,,,,,,,,,,,,,,,SC,0.5932266552406597,0.10918099700558659,0.5821695290789474,0.6245045066829779,5.836944582780353,1.1823062311875,0.7430808897843578,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,SG,0.0,3.102390350877193,0.5190268554118607,3.6343099437376547,0.8568538209425117,0.5783828125,0.8247331294925436
1008,,,,,,,,,,,,,,,,,,,,,,,SC,0.527161871013127,0.11958142344134079,0.5173361291666667,0.5549564572387277,5.253900758127896,1.3326426986875,1.126983753607982,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,RY,0.021365071654117072,1.1497138680033419,1.4596220137947715,3.5971185127078265,0.5296335097738518,2.12755431547619,0.7181974845036516
1009,,,,,,,,,,,,,,,,,,,,,,,SC,0.527161871013127,0.11958142344134079,0.5173361291666667,0.5549564572387277,5.253900758127896,1.3326426986875,1.126983753607982,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,RY,0.021365071654117072,1.4321668755221384,1.5464920334601422,3.4468516844891903,0.4951049665399064,2.4547864583333334,0.6812674967786846
1010,,,,,,,,,,,,,,,,,,,,,,,SC,0.5410417823628408,0.11348925159776536,0.5309573267105263,0.5695681883816847,5.323481112604263,1.2647500396875,1.069568587878983,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,SC,0.38788895581430377,0.0,0.499838465541155,5.316026404073865,0.7299933973947126,2.0922859623015873,0.6886568295401878
1011,,,,,,,,,,,,,,,,,,,,,,,SC,0.5637269555166611,0.10375160458100557,0.5532191475438597,0.5934488877105907,5.546682560908249,1.1235119805,0.9407651201223045,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,YK,0.0652495549143594,0.0,0.6248506195928426,2.7892433084370047,0.5923084782471352,4.564772704725828,1.552650869853959
1012,,,,,,,,,,,,,,,,,,,,,,,SC,0.5605207947660721,0.10316161738547486,0.5500732594298245,0.5900736853198182,5.515136183799815,1.1355962643125,0.9603472233794657,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,YK,0.07734947237740533,2.199535818713451,0.7810202432039203,2.640795273102965,0.5858401338180872,0.8693384627525252,1.5270732185955873
1013,,,,,,,,,,,,,,,,,,,,,,,SC,0.5530016457320767,0.10639410643575417,0.5426937497807017,0.5821586329535128,5.4411529517145505,1.185681283875,1.0027020441841004,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,RY,0.08098304733600993,2.9877112288296495,1.3717203375093974,3.5263869165326898,0.456019737991673,1.8706770833333333,0.704014977123143
1014,,,,,,,,,,,,,,,,,,,,,,,SC,0.5631853052776844,0.10365191658100559,0.5526875939473683,0.5928786798112549,5.541353114235403,1.122431446875,0.9443948927132283,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,SG,0.1617623985431637,0.032149122807017545,0.844076625891449,3.6043971233447683,0.978820417096445,2.630401041666666,0.4952158605790217
