,SG,MI,OC,RY,SC,YG,YK,SGNorm,MINorm,OCNorm,RYNorm,SCNorm,YGNorm,YKNorm,Origin
114,0.539370121,0.03181084,0.043984694,0.231161477,0.014797051,0.01088862,0.127987197,1.330724667,0.521058009,1.414069338,1.184490477,0.201042416,0.4988349,0.603891955,114
115,0.531772011,0.035547863,0.043162815,0.226842093,0.015581674,0.011465996,0.135627549,1.311978742,0.58227002,1.387646646,1.162357597,0.211702812,0.52528592,0.639942022,115
116,0.534388131,0.03497221,0.041577345,0.218509656,0.015658327,0.01188016,0.143014171,1.318433188,0.572840897,1.336675161,1.119661502,0.212744271,0.54425981,0.6747949,116
117,0.51760193,0.038446059,0.040271317,0.21164583,0.015660355,0.012904761,0.163469747,1.277018563,0.629742156,1.294687518,1.084490693,0.212771828,0.591199367,0.771312034,117
118,0.511274929,0.041675014,0.039779053,0.209058739,0.015600362,0.013296205,0.169315697,1.261408694,0.682632077,1.27886167,1.071234223,0.211956728,0.609132395,0.798895436,118
119,0.527276377,0.039300454,0.041024024,0.215601681,0.015449951,0.011747908,0.149599605,1.30088719,0.643737039,1.318886394,1.104760801,0.20991314,0.538201024,0.705867465,119
120,0.527898715,0.045685167,0.041072444,0.215856154,0.01546819,0.011382477,0.142636853,1.302422611,0.748317926,1.32044306,1.106064736,0.210160957,0.521459722,0.673014571,120
121,0.519526046,0.043637931,0.045933739,0.232113266,0.014630371,0.010765966,0.13339268,1.281765708,0.714784439,1.476729421,1.189367521,0.198777799,0.493215834,0.629397066,121
122,0.5151625,0.051996226,0.042993055,0.217253345,0.015094994,0.011107866,0.146392014,1.271000043,0.851692372,1.382189012,1.113224058,0.205090467,0.508879092,0.690732838,122
123,0.506382166,0.052630288,0.039398382,0.207058122,0.014837722,0.012191568,0.167501753,1.249337352,0.86207823,1.266623425,1.060982898,0.201594999,0.558526202,0.790336561,123
124,0.514843105,0.050990334,0.04005667,0.210517755,0.015085631,0.011759145,0.156747359,1.270212036,0.835215981,1.287786816,1.078710342,0.204963256,0.538715842,0.739593267,124
125,0.520993878,0.043859436,0.040535223,0.213032787,0.015265858,0.012109438,0.154203381,1.285387117,0.718412654,1.303171861,1.091597574,0.207411929,0.554763614,0.727589819,125
126,0.507582955,0.047331732,0.039491804,0.207549102,0.015487706,0.013200188,0.169356513,1.252299919,0.775288484,1.269626865,1.063498719,0.210426106,0.604733613,0.79908802,126
127,0.495244493,0.056059523,0.038531827,0.202503962,0.015224155,0.013429056,0.179006983,1.221858679,0.918248719,1.238764437,1.037647006,0.206845337,0.615218645,0.844622585,127
128,0.484392282,0.063297939,0.037687482,0.198066434,0.015466922,0.013643198,0.187445742,1.195084292,1.036813169,1.211619484,1.014908748,0.210143724,0.625029013,0.884439838,128
129,0.479592171,0.056547499,0.037314019,0.196103775,0.016363529,0.014446798,0.199632209,1.183241539,0.92624171,1.199612986,1.00485192,0.222325607,0.661843945,0.941940195,129
130,0.461198356,0.05820396,0.03588294,0.18858267,0.018187721,0.016057315,0.221887038,1.137860636,0.953374364,1.153605043,0.966313158,0.247110277,0.735625745,1.046946886,130
