MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,MI_Norm_dist,OC_Norm_dist,RY_Norm_dist,SC_Norm_dist,SG_Norm_dist,YG_Norm_dist,YK_Norm_dist,Origin
1.418425991,0,1.561930608,0,0.928250436,1.816454365,0.909203662,1.242663307,0,1.529327734,0,0.974848999,1.474081677,0.935999616,113
0,1.475400942,0.537924254,0,1.566447563,0,1.010744919,0,1.660053494,0.572074915,0,1.540642052,0,1.00154947,114
0,0,1.405743362,0,1.607507798,1.758122137,0.168573487,0,0,1.388406018,0,1.620508201,1.656091744,0.170183873,115
1.548746184,1.081291203,1.040590085,0,0.898994866,1.649412295,1.266184652,1.683110627,1.150666295,1.008630559,0,0.912622005,1.418657704,1.244431834,116
0,4.272754843,0,0,1.558803449,0,1.110142805,0,3.564989113,0,0,1.61618398,0,1.104280577,117
0.630824521,3.868272054,0.434827786,1.140722219,0.802445748,1.890968775,1.442985447,0.677769186,4.524723834,0.517247959,1.21340859,0.734394307,1.976509119,1.353316493,118
0.904271694,0.762984616,1.075024589,0.819196189,1.241838645,0,0.696553776,1.030830695,1.048358449,1.093405666,0.805960323,1.196698044,0,0.692214516,119
0,1.307594378,0.713040593,0.997506969,1.585514946,0,0.491241711,0,1.071494718,0.708656659,0.851196416,1.621680864,0,0.511574857,120
0,0.198028153,0.119430178,0.123829349,1.355663934,0,1.943689236,0,0.122240893,0.068599083,0.087067784,1.382818887,0.062055114,1.956061338,121
0,0,1.484894962,0.876201064,1.305906858,2.270918992,0.315385238,0,0,1.443021793,0.956708751,1.306180514,2.86562493,0.264210272,122
1.933625447,0,0,0,1.170564846,5.957491266,1.309144418,2.177634237,0,0,0,1.221529601,6.199791793,1.11643228,123
0,0,0.706342948,0,1.626707179,2.388452601,0.710960392,0,0,0.699134135,0,1.615248617,2.303005478,0.748312907,124
0,0,1.373374471,0.687916988,1.308757614,2.202691534,0.485038357,0,0,1.277050569,0.59831963,1.352642107,2.415944649,0.498960332,125
0,0,1.348894553,0.78089194,0.759937697,0,1.751747822,0,0,1.422019187,0.655239446,0.778283738,0,1.692963557,126
0,0,0,2.73449063,0.951800306,0,1.948467072,0,0,0,2.962539131,1.029027522,0,1.721576679,127
0,0,1.941277355,0,1.233353174,0,0.57206982,0,0,2.071042482,0,1.198860012,0,0.518545629,128
1.407950142,2.641578307,0.415475234,1.040554801,0.603495038,0,2.027011305,1.361744545,2.579911641,0.484175334,0.969799892,0.660674134,0,1.901330385,129
2.05884232,3.624984887,1.649823743,0,0.583769565,0,0.95765643,1.911654006,3.348513672,1.88287764,0,0.555983566,0,0.879169666,130
0.975540915,0,2.102073585,0,0.308848191,0,1.91106611,1.135691976,0,2.011996271,0,0.337955003,0,1.892212978,131
0,3.168356844,1.248818954,1.428759451,0.727283857,4.442710584,0.758782987,0,3.286811046,1.494420641,1.206265475,0.659936182,3.129933202,0.856516525,132
0,0,0.85660119,1.136641285,0.953656137,0,1.711040646,0,0,0.846751214,1.110305656,0.900083759,0,1.831711385,133
2.341569482,0,0.791435272,0,0.634515919,0,2.10161101,2.271460415,0,0.774166449,0,0.689037536,0,2.03343794,134
1.402380995,0,1.804233129,0,0.686261913,0,1.340582471,1.464734582,0,1.737871967,0,0.710558018,0,1.337262667,135
1.402380995,0,1.804233129,0,0.686261913,0,1.340582471,0.419173959,0.168052233,0.366851734,0.186507709,0.746503774,3.847830472,2.3464344,136
0,0,0.522641333,0,1.213736086,0,1.915900651,0,0,0.50519432,0,1.242466515,0,1.877020605,137
0,0,0.023291284,0,0.639709696,0,3.473514201,0,0,0,0,0.653408361,0,3.468763282,138
0,1.202537288,1.07737884,0.479175084,0.838602111,1.778106958,1.596480286,0,1.064327604,1.160995735,0.452087474,0.77262431,1.825165323,1.670508169,139
0,0,0.718615457,0,1.152212624,6.679291129,1.165182043,0,0,0.809875912,0,1.066830409,4.956987252,1.421822596,140
0,0,0.280568116,0,1.915908455,3.484515073,0.437052384,0.025199828,0.150379833,0.198895971,0.201283768,1.73724646,1.240088624,0.985870476,141
0,0.035721248,0,0.015096283,0.013706571,0,4.681679362,0,0,0,0,0,0,4.718377856,142
0,5.170159016,0,2.408212986,1.2260844,0,0.778420397,0,5.259798472,0,2.298965894,1.235706865,0,0.784801258,143
0,2.249951489,0,1.021935006,0.497257483,0,3.082282037,0.086543086,0.489666261,0.181947266,0.193838171,0.233184075,0.2290625,3.917178576,144
0,0.160745614,1.280125941,0,1.172675466,0,1.273325415,0,1.17880117,1.232301171,0,1.216751882,0,1.083654114,145
0,14.09203216,0.195569148,0,0.146797375,0,2.189327325,0.006551955,12.75003925,0.205252352,0.061851419,0.221922615,0.039836957,2.206225116,146
0,0,0.857579237,0,1.664068204,0,0.746241562,0,0,0.766612023,0,1.711351097,0,0.73957991,147
0,2.940750051,0,0,0.822256711,0,2.71424802,0,2.733170594,0,0,0.798732769,0,2.789701994,148
0,0.949354452,0,0,1.954091118,0,0.841932715,0.013649907,0.208484394,0.413940679,0.057277072,1.796298782,0.013474265,0.846060211,149
0,0,2.11662629,0,0.634514715,0,1.555856371,0,0,2.043885668,0,0.652196751,0,1.589021567,150
0,0,0.260658302,6.085850655,0.097579639,0,2.178244457,0,0.032149123,0.14327934,6.179663268,0.064240065,0,2.312792621,151
0,0,1.322684293,0,0.605164687,0,2.343067804,0,0,1.304043587,0,0.563293372,0.091625,2.430872893,152
0,0,2.795442502,0,0.441003522,0,1.300867742,0,0,2.707717787,0,0.497996483,0,1.272650244,153
0,0,2.661402247,0,0.297467199,2.891200433,1.401027981,0,0,2.441285152,0,0.374757859,3.705243525,1.37206117,154
0,5.142525901,0,0,1.09041865,6.378911346,1.221270981,0,4.216413304,0.02049633,0,1.070593143,7.264701042,1.28500378,155
0,0,1.91884689,0,0.874851261,0.196339286,1.258121753,0,0.120559211,1.483116876,0.016983318,0.87411698,0.2290625,1.633794504,156
0,0,3.868560277,0,0.327489141,0,0.529806428,0,0.810118462,3.777774179,0.14071892,0.255114886,1.918324067,0.386476339,157
0,4.463806139,0.915931451,0,1.298718203,0,0.736093002,0,4.890885592,0.677393012,0,1.411936533,0,0.67653939,158
0,4.463806139,0.915931451,0,1.298718203,0,0.736093002,0.013649907,1.778458467,1.08661548,0.140805415,0.919422939,2.143666461,1.424810418,159
0,3.442781545,0.606886968,1.831252596,0.923357254,0,1.252422802,0.053162795,2.476319073,1.034123355,0.860968221,0.954637507,1.678127999,1.089845236,160
0,3.442781545,0.606886968,1.831252596,0.923357254,0,1.252422802,0,3.614945646,0.587659572,1.734796248,0.991466862,0,1.148100902,161
0,0,1.576443757,0,0.675088225,5.913440149,1.366629975,0,0,1.440461832,0,0.682962554,6.277544388,1.439285806,162
2.205493658,0,1.164282712,0,0.655241084,3.08122749,1.440500489,1.93450313,0,0.990122521,0,0.659048578,2.911144142,1.689168456,163
0,0,0.446607288,0,1.339961443,0,1.744514211,0,0,0.497757086,0,1.35396014,0,1.670642365,164
0,0.764317662,1.565127302,0.452785857,1.269463339,0,0.579959714,0,1.002511995,1.48263913,0.3597836,1.296265318,0,0.601998376,165
0,2.804155862,0.424648346,0,1.233039462,0,1.55766512,0,2.779999838,0.415387005,0,1.238655701,0,1.558997643,166
0,2.791707965,0,0,2.018988258,0,0.447426115,0,2.620694407,0,0,2.064601578,0,0.385291526,167
0,0.124003759,0,0,1.742594685,0,1.367543182,0,0.013395468,0.010980177,0,1.850481419,0.019088542,1.165371244,168
0,0,0.547634561,0,1.582368528,0,1.187893056,0,0,0.55813422,0,1.587667818,0,1.168090061,169
0,1.05408206,1.167842531,0,1.247426362,0,1.102650035,0,1.031892558,1.193826328,0,1.272831953,0,1.033393114,170
0,0,0,0,2.108518705,0,0.685929145,0,0,0,0,2.133894283,0,0.637399475,171
0,1.369904177,0.647183498,0,1.392320732,0,1.25862952,0,1.363034244,0.585916887,0,1.427036237,0,1.249661683,172
0,0.957402142,0.499807096,0.447493566,1.447418152,0.787141116,1.113030944,0,0.850051071,0.550727442,0.407794251,1.455926494,0.615991988,1.097039859,173
0,0,1.111715913,0,1.308431164,0,1.192366526,0,0,1.033966531,0,1.300997581,0,1.278176417,174
0,0,0.702669793,0,1.565922718,0,1.076584786,0,0,0.547020794,0,1.611805094,0,1.132162098,175
0,3.719224211,0.482493879,0,1.949447791,0,0,0,3.299111472,0.499410724,0,1.973542761,0,0,176
0,0.864043806,0.931925832,1.028867521,1.018926297,0,1.427469618,0,0.890282157,0.983158819,1.056757694,0.97143096,0,1.457589199,177
0,0,1.197563768,0,1.387635258,2.05388352,0.750305321,0,0,1.144630502,0,1.353602012,2.511247421,0.817029225,178
0,0,1.188825672,0,0.312696999,5.854672486,2.422667844,0,0,1.205741145,0,0.266533377,5.97593653,2.482888177,179
0,0,1.777696163,0,0.014852939,12.87714674,1.726767995,0,0.045927318,1.800326674,0,0.040252132,12.31408116,1.708605854,180
0,0,0,0,0.819628945,0,3.150873772,0,0,0,0,0.864212511,0,3.065609676,181
0,0,1.541302804,0,0.784262103,0,1.799242762,0,0,1.573374807,0,0.705839906,0,1.919689074,182
0,0,1.283347478,0,0.995915862,0,1.631995756,0,0,1.260707269,0,1.080510299,0,1.491060286,183
1.172756974,0,1.289837025,0,1.030879478,3.778814612,0.832137834,1.387342548,0,1.308919962,0,1.037331289,3.710850879,0.747413456,184
0,3.458128328,0.863037993,0.64751296,1.284085663,0,0.735512806,0,3.28737739,0.789272075,0.680026021,1.320694513,0,0.747194603,185
0,2.811004796,0.830179694,0.568554553,1.34931942,1.899512505,0.567771918,0,2.853600488,0.85526625,0.465742946,1.323855564,1.710880497,0.642250813,186
0,1.364164476,0.736703557,0,1.605713735,1.929937767,0.570164475,0,1.416681655,0.811620683,0,1.590960063,1.663991978,0.549077651,187
0.88969541,1.264355664,0.494445669,0.682160704,1.38927871,2.329843608,0.687438659,0.755174367,1.589176016,0.520554109,0.628629113,1.390468118,2.176887994,0.686544205,188
0,5.347322083,1.262668135,0,1.087598699,0,0.690896727,0,5.013190702,1.124747349,0,1.15083211,0,0.746005302,189
0,0.821010377,0.173218448,0,1.227310138,0,2.091201948,0.004963603,0.293099795,0.090927509,0.003234918,1.115808772,0.602826062,2.393057587,190
0,0,0.468504888,0,1.103812632,7.72024436,1.380841538,0,0,0.415266652,0,1.167019016,6.902201666,1.393238037,191
0,0,0.706630007,1.457658786,1.566840264,0,0.564967131,0,0,0.636154926,1.557273542,1.624663814,0,0.484683044,192
0,0,0,0,1.604862101,4.504007308,1.185267802,0,0,0,0,1.591462338,4.679356629,1.192834459,193
