Zone#,PD,X,Y
8017,0,640640.8183,4841921.426
8018,0,642431.7117,4844485.088
8019,0,644934.2522,4846287.49
8020,0,650376.5232,4849155.632
8021,0,627741.4519,4832755.916
8022,0,621217.8892,4830394.577
8023,0,617428.6813,4827502.921
8024,0,625033.8393,4835000.178
8025,0,618182.2784,4832632.331
8026,0,619754.2339,4839621.274
8027,0,615596.9986,4840177.831
8028,0,621931.9265,4848401.024
8029,0,631645.9134,4847069.246
8030,0,631006.8421,4850304.541
8031,0,639956.4023,4843630.767
8032,0,638053.5953,4849397.294
8033,0,636537.9346,4853755.638
8500,0,653955.7529,4854824.669
8501,0,657381.0275,4856782.223
8502,0,665708.2751,4858931.735
8503,0,669886.7614,4859777.137
8750,0,622605.2705,4873477.302
8751,0,627614.2332,4874512.476
8752,0,624876.4541,4894368.405
8753,0,640393.1165,4856010.204
8754,0,632549.6879,4856621.343
8755,0,639927.4538,4859315.919
8756,0,637788.4142,4858580.319
8757,0,628655.8949,4853056.738
8758,0,626388.6615,4880589.164
8759,0,612644.3572,4852492.216
8760,0,620627.9618,4854955.295
8761,0,620096.4974,4857224.579
8762,0,618226.42,4864014.116
8763,0,623546.4692,4873112.188
8764,0,623430.6508,4879782.382
8765,0,623586.6774,4881712.621
8766,0,626767.3446,4855166.793
8767,0,626461.1349,4859263.311
8768,0,635515.3381,4856808.869
8769,0,637486.2499,4859220.787
8770,0,639587.3608,4860321.996
8771,0,639441.9851,4862230.72
8772,0,641570.9677,4872738.608
8773,0,640418.3622,4870167.212
9000,0,604963.7952,4823017.808
9001,0,610745.41,4830282.217
9002,0,611710.4522,4831753.644
9003,0,603948.3623,4834053.003
9004,0,614123.6564,4823604.216
9005,0,610464.5875,4818689.6
9006,0,614709.7654,4829305.701
9007,0,611200.18,4826447.635
9008,0,607591.016,4824671.689
9009,0,604238.6874,4825560.691
9010,0,600395.7249,4827953.049
9011,0,597768.0315,4827250.074
9012,0,609784.8296,4839956.024
9013,0,605590.5865,4839671.041
9014,0,599651.8499,4837911.138
9015,0,595019.0129,4836416.138
9016,0,611861.2037,4837546.608
9250,0,606537.7692,4812192.719
9251,0,603339.2923,4807939.094
9252,0,600391.7521,4803661.549
9253,0,596551.2192,4799355.215
9254,0,592752.0302,4796093.784
9255,0,591480.0591,4819613.609
9256,0,587330.5117,4834166.414
9257,0,577795,4831644
9500,0,591780.8054,4789525.895
9501,0,592116,4791104
9750,0,560853.1983,4821566.915
9751,0,604468.2061,4914273.827
9763,0,540929.9931,4811662.609
9764,0,615425.0041,4885938.027
9765,0,609275.3056,4911815.256
