,Campus,Mode,HomeZone,Income,Time.Auto,Time.Transit,Time.Active
232,69,Transit,574,Unknown,57.6342,118.236507,376.74375
233,69,Active,67,"Less than $ 30,000",2.523888,24.493026999999998,28.469009999999997
235,69,Transit,222,Unknown,19.19235,51.81050000000001,120.050385
236,69,Active,172,"$ 60,000 - 89,999",11.27827,44.993718,74.18136
237,69,Active,70,"Less than $ 30,000",1.117177,20.195869,11.101709999999999
238,69,Active,105,Unknown,11.34923,39.849031,65.27565
239,69,Active,42,"$ 120,000 - 149,999",2.776623,26.813798,23.593725
241,566,Transit,622,"$ 150,000 - 179,999",6.472022,36.362017,69.71035499999999
242,69,Transit,7294,Unknown,0.0,0.0,0.0
243,69,Active,67,Unknown,2.523888,24.493026999999998,28.469009999999997
244,69,Transit,4035,Unknown,89.91993000000001,113.40996000000001,792.99075
245,69,Transit,3714,"$ 150,000 - 179,999",50.17188,155.55116999999998,349.78845
246,566,Transit,108,Unknown,37.882329999999996,107.074827,410.07360000000006
247,69,Transit,280,I donâ€™t know,13.00131,35.417331,71.57238000000001
248,566,Auto,1046,"$ 60,000 - 89,999",33.10413,104.383208,285.35805
249,69,Transit,3619,"$ 150,000 - 179,999",42.1131,118.39803300000001,281.15745000000004
250,69,Transit,100,Unknown,9.349833,37.81105,52.358880000000006
251,566,Auto,497,Unknown,5.793533999999999,26.869722000000003,74.87325
252,69,Transit,441,Unknown,29.582459999999998,62.974813,181.27155000000002
253,69,Transit,216,"Less than $ 30,000",14.00681,58.21812900000001,93.22105499999999
254,69,Transit,461,Unknown,37.73697,90.440035,243.79395000000002
255,69,Transit,2614,Unknown,98.40382,191.70077,811.3719
256,69,Transit,287,Unknown,28.61972,65.781362,174.55365
257,3631,Transit,3683,"Less than $ 30,000",27.338929999999998,112.92883,252.7752
258,69,Active,69,"$ 30,000 - 59,999",0.0,0.0,0.0
259,69,Transit,2619,I donâ€™t know,69.71825,114.92243,529.3862999999999
260,566,Transit,583,"Less than $ 30,000",9.218005,45.254911,150.7788
261,69,Transit,2139,Unknown,73.77691999999999,167.70800999999997,454.281
262,69,Transit,2054,Unknown,51.47854,104.64487,388.7920500000001
263,69,Active,21,"$ 30,000 - 59,999",4.289724,29.3483,30.6678
264,69,Transit,312,Unknown,31.237240000000003,50.903516,187.5885
265,566,Transit,22,Unknown,26.49993,81.48457900000001,325.0632
266,69,Auto,2558,"$ 210,000 - 239,999",92.35351999999999,136.91228999999998,708.0385500000001
267,566,Active,565,"$ 30,000 - 59,999",2.649222,20.927781,23.086634999999998
268,69,Active,96,Unknown,5.576192,29.470396,31.67763
269,69,Transit,2142,"$ 180,000 - 209,999",78.49124,190.57783500000002,489.24735000000004
270,566,Auto,249,"Less than $ 30,000",16.63026,74.404197,204.2199
271,69,Transit,463,Unknown,32.571740000000005,69.622366,212.3673
272,566,Transit,561,I donâ€™t know,2.1605119999999998,11.333393,22.923180000000006
273,3631,Active,3651,"Less than $ 30,000",3.6716519999999995,32.570067,47.140125
274,566,Transit,517,Unknown,7.629183,42.10006300000001,98.67043500000001
275,69,Transit,587,Unknown,42.15467,121.08644699999999,296.78294999999997
276,566,Active,573,I donâ€™t know,3.5996650000000003,21.350601,28.402245
277,3631,Transit,3691,I donâ€™t know,10.57137,51.113878,105.77124
278,69,Transit,210,Unknown,13.0839,43.443395,85.07454
279,3631,Auto,3676,Unknown,25.88474,109.56773700000001,231.97665000000003
280,69,Transit,531,Unknown,35.76266,60.89423000000001,221.07704999999999
281,69,Transit,46,"Less than $ 30,000",2.168042,23.855995999999998,19.46616
282,69,Active,42,"Less than $ 30,000",2.776623,26.813798,23.593725
283,3631,Auto,3855,Unknown,29.16088,117.34191000000001,285.39165
284,69,Transit,2710,"$ 90,000 - 119,999",93.38274,175.21282000000005,867.0730500000001
285,566,Transit,250,Unknown,18.30487,64.38888,223.7364
286,566,Active,566,Unknown,0.0,0.0,0.0
287,69,Active,46,"$ 120,000 - 149,999",2.168042,23.855995999999998,19.46616
288,566,Transit,528,Unknown,14.23485,62.174552,181.78725
289,69,Auto,513,"$ 60,000 - 89,999",46.048140000000004,98.189573,294.91305
290,69,Transit,172,Unknown,11.27827,44.993718,74.18136
291,566,Auto,505,Unknown,12.84653,55.432228,177.651
292,69,Active,21,Unknown,4.289724,29.3483,30.6678
293,3631,Transit,330,I donâ€™t know,8.932961,37.609636,94.252275
294,69,Active,68,I donâ€™t know,1.464106,25.325449,14.598600000000001
295,69,Transit,1073,I donâ€™t know,78.55301999999999,112.57535,563.77125
296,3631,Active,100,"$ 30,000 - 59,999",24.1312,81.882162,256.41615
297,566,Transit,2428,Unknown,23.56165,108.22236200000002,220.21485
298,69,Active,99,I donâ€™t know,9.644531,45.354856,60.67656
299,69,Auto,2213,"$ 120,000 - 149,999",66.32047,152.42185600000002,412.84095
300,69,Transit,3689,Unknown,62.9307,108.07673,490.38525
301,69,Transit,505,"$ 60,000 - 89,999",33.87375,81.889028,221.18204999999998
302,69,Transit,3366,"$ 60,000 - 89,999",65.48768000000001,162.39424,496.6329
303,69,Transit,613,"$ 60,000 - 89,999",53.6249,127.044329,366.55080000000004
304,3631,Transit,3813,Unknown,6.656314,44.190151,59.099565
305,69,Active,91,"Less than $ 30,000",3.6181620000000003,29.895442,34.55601
306,69,Transit,338,Unknown,34.881859999999996,70.89578399999998,218.5206
307,69,Transit,3616,Unknown,47.966840000000005,127.490498,334.04475
308,69,Active,47,Unknown,1.710853,20.776487,15.946485
309,69,Transit,3515,Unknown,54.603280000000005,83.37464800000002,412.29705000000007
310,566,Auto,454,"$ 60,000 - 89,999",19.28054,81.263254,296.076
311,566,Auto,2219,I donâ€™t know,37.062540000000006,92.906376,411.98355
