HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Distance
563,391,9092,24,M,Y,O,O,S,2,4,3,0,29.65,9,-1,26444.83
3617,391,9092,19,F,Y,O,O,S,1,6,5,1,17.16,J,640,35752.36
2399,391,9092,21,M,Y,S,P,S,1,5,4,0,13.04,9,-1,17028.53
3829,391,9092,24,M,Y,O,O,S,1,3,2,0,114.95,D,830,15313.84
150,391,E0471,25,F,N,G,P,S,2,5,3,1,15.17,9,-1,10431.47
2427,391,9092,26,M,Y,P,P,S,2,4,4,2,138.22,D,1100,20693.52
175,391,9092,26,F,Y,P,J,S,0,4,2,0,52.82,B,1030,11691.02
603,391,9092,20,M,Y,O,O,S,1,2,2,1,11.31,D,1415,20154.29
595,391,9092,19,M,Y,S,P,S,1,7,4,0,28.65,9,-1,18813.01
396,391,9092,26,F,Y,G,F,P,1,2,3,0,19.47,9,-1,2095.78
2414,391,9092,29,M,Y,P,P,S,1,7,3,0,5.8,D,800,25563.86
3337,391,9092,21,M,Y,O,9,S,3,7,4,0,27.68,B,700,16970.54
193,391,9092,23,M,N,O,O,S,0,5,2,0,20.51,9,-1,10397.58
3337,391,9092,18,F,Y,S,P,S,2,4,4,1,14.89,9,-1,16970.54
3663,391,9092,38,F,Y,O,O,P,3,4,2,2,16.67,B,700,34388.1
582,69,9103,33,F,Y,G,F,P,0,3,1,0,45.14,9,-1,20594.9
4127,3851,9309,26,M,Y,S,P,P,2,4,5,0,19.49,W,1230,28565.13
444,391,E0471,22,F,N,O,O,S,1,1,2,0,46.8,9,-1,7514.664
372,391,9092,21,F,Y,O,O,S,4,4,4,1,15.25,9,-1,10828.41
3448,391,9092,21,F,Y,O,O,S,3,7,4,0,30.81,9,-1,19312.39
2258,391,9092,20,M,Y,O,O,S,2,7,3,0,9.48,D,1400,18580.47
3449,391,9092,18,M,Y,M,P,S,2,3,3,1,30.61,B,730,18870
374,391,9092,23,F,Y,S,P,S,2,4,4,0,28.44,9,-1,8604.383
2711,391,E0471,24,M,Y,S,F,P,3,6,4,0,31.6,9,-1,36710.11
183,391,9092,22,F,N,G,P,P,2,4,3,0,11.15,9,-1,9967.075
398,391,9092,21,F,9,O,O,S,2,5,6,0,35.09,9,-1,1773.034
396,391,E0471,30,M,Y,G,P,S,1,1,3,0,15.98,9,-1,2095.78
234,391,9092,60,M,Y,S,P,P,2,2,1,0,6.23,9,-1,18193.18
3617,391,9092,18,F,Y,O,O,S,2,6,3,1,15.82,B,1500,35752.36
282,391,9092,20,M,Y,S,P,P,1,2,3,2,61.52,B,800,19705.19
3323,391,9092,25,M,Y,G,F,P,4,7,6,1,112.94,9,-1,29617.97
562,391,C405,20,F,Y,O,O,S,2,4,5,0,29.74,9,-1,27460.97
398,391,9092,31,M,N,O,O,S,0,2,2,0,16.15,W,1020,1773.034
439,391,9092,22,M,N,O,O,S,1,3,3,1,63.62,B,800,7631.019
2419,391,9092,18,F,N,O,O,S,1,5,7,0,31.24,B,705,23051.36
390,391,9092,19,F,Y,S,P,S,2,4,4,0,24,P,1100,3485.794
3366,391,9092,30,M,Y,M,F,P,3,1,5,0,112.23,B,1045,26972.33
185,391,E0471,25,M,Y,P,P,S,1,2,2,0,16.52,9,-1,12717.15
2449,391,9092,25,F,Y,O,O,S,2,3,4,0,40.93,B,830,21996.48
178,391,9092,20,M,Y,S,P,S,2,4,4,0,23.19,9,-1,9934.987
2209,391,C405,18,F,N,O,O,S,3,3,5,0,52.18,9,-1,13482.86
95,391,E0471,26,M,N,P,P,S,0,3,2,0,5.6,B,830,15536
450,391,9092,38,M,Y,M,F,P,1,2,2,1,14.66,9,-1,8099.936
2060,391,9092,18,F,Y,S,P,S,3,6,4,0,36.98,P,730,7961.921
2248,391,9092,18,F,Y,S,P,S,1,7,3,0,28.83,B,1055,11947.61
3425,391,9092,31,M,Y,P,P,P,3,6,4,0,10.78,9,-1,28002.4
521,391,9092,20,F,N,G,P,S,1,4,3,0,31.81,9,-1,25196.84
3337,391,9092,21,M,Y,O,O,S,2,3,5,1,17.24,B,1010,16970.54
376,391,9092,19,F,N,O,O,S,2,7,3,1,38.02,P,730,9324.434
457,391,9092,19,M,Y,O,O,S,2,1,4,0,41.65,B,1440,9249.94
233,391,9092,26,M,N,G,F,P,0,2,1,0,61.41,B,1800,17687.72
107,391,E0471,36,M,Y,P,P,P,1,5,2,0,4.75,9,-1,15312.37
368,391,9092,23,F,Y,S,P,P,3,2,5,0,36.95,9,-1,11543.89
3363,391,9092,19,F,N,S,P,S,2,4,4,0,59.21,9,-1,22720.59
382,391,9092,28,F,Y,P,F,P,1,6,4,0,7.91,9,-1,9009.049
452,391,9092,20,M,Y,O,O,S,1,1,3,0,21.49,B,915,9153.45
491,391,9092,22,M,Y,G,P,S,2,2,4,0,7.95,B,1030,23493.28
1029,1029,9998,34,M,Y,P,F,P,2,6,2,1,27.79,9,-1,0
2101,391,9092,18,F,N,O,O,S,2,6,5,0,48,9,-1,10403.48
3518,391,9092,21,F,9,O,O,S,2,4,4,0,48.62,B,930,15984.28
370,391,9092,31,M,Y,P,F,P,1,3,2,0,100.49,9,-1,13256.09
2257,391,9092,18,F,Y,O,O,S,2,4,3,0,18.36,9,-1,16812.64
531,391,9092,20,M,N,S,P,P,1,4,6,0,80.84,9,-1,24721.65
517,391,9092,19,M,N,O,O,S,2,6,3,1,23.5,B,615,27428.18
134,391,S118,20,F,Y,S,P,S,0,2,2,0,41.94,9,-1,9536.9
2098,391,9092,19,M,Y,S,P,S,2,4,3,1,18.97,B,920,9253.344
125,391,9092,57,M,Y,O,O,P,1,7,1,0,8.15,9,-1,14648.67
594,452,2704,18,F,N,P,P,S,2,7,3,0,13.09,B,730,9259.601
2131,391,9092,20,F,Y,O,O,S,3,6,4,0,25.1,D,1015,9655.421
573,391,9092,20,F,Y,P,F,P,1,2,3,0,18.78,9,-1,30384.44
2053,391,9092,19,M,Y,P,P,S,2,7,3,3,22.36,P,1000,13127.15
118,391,9092,20,F,N,S,P,S,1,7,4,0,19.19,B,730,13272.04
3010,391,9092,17,M,Y,O,O,S,3,4,3,3,16.69,9,-1,30841
2133,391,9092,23,F,Y,O,O,S,2,6,6,0,16.29,9,-1,10927.59
397,391,E0471,32,M,Y,S,P,S,1,2,3,0,6.41,W,1000,1271.585
3458,391,9092,22,M,Y,S,P,S,2,4,4,0,19.19,9,-1,31622.46
2143,391,9092,22,F,Y,S,P,S,2,6,3,0,38.45,9,-1,7508.721
1046,38,172,59,F,Y,O,O,S,2,6,2,0,9.04,D,1030,28054.98
166,22,817,37,F,Y,O,O,P,1,6,2,1,4.97,9,-1,6337.225
137,391,9092,21,F,Y,G,P,S,1,7,3,0,48.94,B,1000,8220.954
353,391,9092,21,F,Y,O,O,S,1,4,4,1,37.7,B,735,12710.25
3430,391,9092,21,F,Y,S,P,S,1,4,2,0,16.33,B,915,31700.34
3841,391,9092,20,M,Y,O,O,S,2,7,4,1,68.42,B,640,27203.11
76,391,9092,19,F,N,S,P,S,0,2,4,1,146.44,B,700,17829.65
442,391,9092,21,M,Y,O,O,S,1,4,3,1,32.29,B,1335,9043.329
403,391,C405,19,F,N,O,O,S,1,7,5,0,31.02,B,1035,6219.447
596,391,9092,26,F,Y,S,P,S,2,6,4,0,16.64,B,830,17506.7
3323,391,S118,27,M,Y,P,F,P,4,7,6,1,112.94,D,1700,29617.97
204,391,E0471,62,F,Y,P,F,P,2,6,3,0,22.81,9,-1,15269.5
3719,391,C405,25,M,N,O,O,S,1,7,4,1,26.42,B,600,33756.42
467,391,9092,21,F,Y,O,O,S,2,6,3,0,26.05,P,820,13550.43
203,391,9092,31,F,Y,P,F,P,0,4,2,0,26.25,9,-1,15236.57
137,391,9092,18,F,N,O,O,S,1,2,3,4,33.03,B,830,8220.954
294,391,9092,19,M,N,O,O,S,0,3,3,2,35.22,B,630,24156.7
385,391,9092,20,F,Y,G,P,S,1,2,5,0,38.68,P,1400,7559.203
385,391,9092,23,F,Y,O,O,S,1,2,5,0,38.68,9,-1,7559.203
398,391,9092,23,F,N,S,P,S,0,1,1,0,16.93,9,-1,1773.034
402,391,9092,22,F,Y,O,O,S,1,4,3,0,18.2,B,900,6553.117
3360,391,E0471,19,M,N,M,P,S,1,2,3,2,30.95,9,-1,26319.06
137,391,9092,19,M,Y,S,P,S,0,2,4,0,37.73,9,-1,8220.954
333,391,9092,27,F,N,S,P,S,0,2,2,0,21.88,B,1000,20016.63
137,391,9092,25,F,N,O,O,S,1,4,3,0,22.45,B,1000,8220.954
1076,391,9092,19,F,Y,S,P,S,3,7,3,0,60.45,B,1100,40817.14
461,391,9092,21,M,Y,S,P,S,4,6,4,0,22.07,B,1125,10134.66
398,391,9092,21,F,Y,P,P,S,2,2,4,0,14.59,9,-1,1773.034
2603,391,9092,22,F,Y,P,P,S,3,7,4,0,48.06,B,830,31927.56
173,391,9092,23,F,Y,O,O,S,0,3,2,0,34.96,9,-1,13536.66
2051,391,9092,21,F,Y,O,O,S,5,5,4,1,40.13,9,-1,16358.26
1089,391,9092,19,M,Y,S,P,S,2,4,4,1,24.86,B,600,41608.77
1064,391,9092,19,M,Y,O,O,S,3,6,5,1,40.05,9,-1,42571.41
462,391,9092,27,M,Y,S,P,P,1,4,4,0,20.27,9,-1,10533.63
3489,391,9092,25,M,Y,O,O,S,3,6,3,0,9.72,D,745,26732.49
2022,391,9092,22,F,Y,S,P,S,4,4,5,0,32.45,9,-1,14538.84
2022,391,9092,21,M,Y,O,O,S,2,2,2,0,15.17,D,1015,14538.84
409,391,9092,24,F,Y,S,F,P,0,2,2,0,47.72,B,1730,7127.491
441,391,9092,24,M,Y,P,F,P,1,6,2,0,32.4,9,-1,8679.727
401,391,9092,22,M,Y,P,P,P,2,2,4,0,22.87,9,-1,4081.137
2442,391,9092,29,M,N,S,P,S,0,7,2,0,17.72,G,915,27657.36
464,391,9092,43,M,Y,P,F,P,1,6,2,1,8.21,9,-1,11409.39
456,391,9092,32,F,Y,P,P,S,2,2,4,0,12.34,9,-1,10361.74
99,391,9092,35,F,Y,P,F,P,1,5,2,0,27.9,9,-1,17124.24
119,391,E0471,35,M,Y,P,P,S,1,4,2,0,23.51,D,1130,14116.05
3418,391,9092,22,M,Y,9,P,S,2,3,6,1,30.76,9,-1,25579.21
1076,391,9092,20,F,Y,O,O,S,2,4,4,0,41.16,B,700,40817.14
184,391,9092,23,F,N,S,P,S,0,2,3,0,25.38,B,1030,11641.41
520,391,9092,22,M,Y,O,O,S,1,5,3,1,24.54,B,1000,26442.04
2358,391,S118,23,F,Y,O,O,S,2,4,3,0,9.52,D,800,10724.09
144,391,9092,22,M,Y,P,P,S,2,4,3,0,18.25,B,1400,11451.63
1209,391,9092,36,F,Y,S,F,P,2,4,2,0,24.87,9,-1,54946.83
2120,391,9092,21,M,Y,S,P,S,2,5,4,0,24.26,9,-1,4116.511
2760,2760,9998,50,M,Y,P,F,P,1,4,2,0,39.71,9,-1,0
405,391,9092,21,F,Y,O,O,S,1,4,4,0,10.59,B,915,8066.43
2222,391,9092,37,M,Y,O,O,S,2,2,2,1,31.35,9,-1,20860.27
2054,391,9092,19,M,N,O,O,S,1,7,3,2,46.45,C,1500,11530.97
2218,391,9092,21,M,Y,O,O,S,1,2,3,1,22.18,9,-1,18000.47
577,391,9092,19,F,Y,O,O,S,1,7,3,1,14.88,B,1630,26165.31
75,69,9103,20,M,Y,O,O,S,0,3,4,0,58.83,W,1100,1285.244
1210,1206,E0296,54,F,N,O,O,S,1,1,3,0,98.81,9,-1,3203.688
2351,391,9092,25,F,Y,O,O,S,1,1,1,0,21.95,9,-1,7592.839
458,391,9092,19,M,N,O,O,S,2,6,4,0,28.51,B,815,9147.208
578,397,9989,20,F,Y,O,O,S,1,2,3,1,49.1,9,-1,23302.55
222,391,9092,31,F,N,O,O,P,0,4,2,0,18.44,B,900,18599.49
5098,397,9989,20,F,Y,O,O,S,3,5,4,0,62.09,9,-1,77994.88
4004,4004,9998,25,F,N,S,F,P,2,6,4,2,8.38,9,-1,0
390,391,9092,25,M,Y,O,O,S,2,3,4,0,37.62,B,800,3485.794
211,391,9092,20,M,Y,P,P,S,0,2,2,0,51.7,B,1000,14000.34
2566,391,9092,23,F,Y,O,O,S,3,7,4,1,49.23,D,900,26764.86
2435,2435,9998,46,F,Y,P,F,P,2,6,2,3,33.67,9,-1,0
3355,391,9092,20,M,Y,O,O,S,1,3,2,0,20.72,B,1045,22408.64
342,391,9092,22,M,Y,O,O,S,1,4,2,0,20.64,B,1530,13028.77
2120,391,9092,20,F,Y,G,P,S,2,7,4,0,14.9,P,730,4116.511
3686,391,9092,18,M,Y,S,P,S,2,4,4,0,15.08,B,650,28113.5
2449,391,9092,21,M,N,O,O,P,1,2,3,1,63.53,9,-1,21996.48
412,397,1326,17,F,N,O,O,S,2,7,2,1,10.74,P,700,2161.833
278,391,9092,51,F,Y,S,P,P,1,4,2,1,4.8,9,-1,19351.51
2061,391,9092,22,F,N,S,P,S,2,6,4,0,19.61,P,1100,6807.588
440,391,9092,17,M,N,O,O,S,0,2,1,1,10.33,B,800,8177.156
4110,4110,9998,42,M,Y,P,F,P,1,1,2,4,14.05,9,-1,0
3348,391,E0471,22,M,Y,O,O,S,3,6,3,0,14.6,D,900,26070.21
590,590,1656,17,M,Y,O,O,S,2,3,3,1,7.68,W,830,0
2018,391,9092,22,F,Y,O,O,S,4,5,4,0,6.73,D,900,21070.32
90,391,9092,34,M,N,9,P,P,0,2,1,0,27.45,9,-1,18503.36
205,391,9092,22,F,Y,O,O,S,3,6,3,0,31.27,B,700,17086.25
3518,391,9092,36,F,Y,O,O,S,3,4,4,0,16.81,9,-1,15984.28
431,391,9092,20,F,Y,O,O,S,1,4,3,0,18.2,9,-1,4911.207
2368,3629,5574,34,F,Y,O,O,S,2,4,2,2,31.35,9,-1,26389.11
411,391,9092,25,M,Y,S,P,S,2,4,4,0,15.83,B,1830,5561.901
3448,391,E0471,19,F,Y,G,P,S,2,4,3,1,16.74,D,700,19312.39
3425,391,9092,21,F,Y,S,P,S,2,4,3,0,9.07,9,-1,28002.4
401,391,9092,21,M,Y,O,O,S,1,2,6,2,12.76,B,1500,4081.137
448,391,9092,20,F,Y,O,O,S,1,3,3,1,18.87,B,1030,8135.732
390,391,9092,18,F,N,O,O,S,0,4,4,4,55.06,9,-1,3485.794
370,391,9092,20,F,Y,O,O,S,1,3,2,0,100.49,U,1020,13256.09
422,391,C405,25,M,N,O,O,P,2,4,4,0,103.83,9,-1,6948.563
463,391,9092,25,M,Y,O,O,S,2,5,4,0,18.67,9,-1,11277.74
2555,391,9092,19,M,Y,S,P,S,1,4,3,0,39,B,1000,28128.54
391,391,9092,56,M,Y,M,F,P,1,3,1,0,18.98,9,-1,0
21,391,9092,31,F,Y,O,O,S,0,2,2,2,40.02,B,715,17796
3380,391,9092,20,M,Y,S,P,S,1,3,3,2,26.4,9,-1,25931.12
572,391,9092,21,F,N,S,P,S,2,6,5,0,67.7,9,-1,30345.94
2013,391,9092,19,F,N,G,P,S,2,5,4,0,26.83,9,-1,20077.09
398,391,9092,27,M,Y,S,P,S,0,4,2,0,16.15,9,-1,1773.034
366,391,9092,23,M,Y,O,O,P,1,4,4,0,20.27,B,1735,10442.82
514,391,E0471,54,M,Y,O,O,S,1,3,2,2,56.48,B,855,27801.06
1028,1206,E0296,58,M,Y,O,O,S,2,4,4,0,17.99,D,700,19679.1
3492,391,9092,36,F,Y,P,F,P,1,4,1,0,20.56,9,-1,25482.05
2449,391,S118,18,F,Y,O,O,S,3,5,4,2,48.46,9,-1,21996.48
606,2616,9287,31,F,Y,G,F,P,2,4,4,0,24.01,9,-1,38546.84
48,391,S118,25,F,Y,O,O,S,1,3,2,0,17.57,B,700,17557.84
3460,391,9092,25,F,N,O,O,S,1,4,4,0,45.71,B,1000,29828.72
2383,391,9092,23,F,Y,S,P,S,2,3,4,1,18.98,9,-1,19476.38
590,391,9092,21,F,9,O,O,S,1,7,3,0,14.14,B,1000,15004.53
469,5198,9011,18,F,N,O,O,S,1,2,3,0,19.54,9,-1,83291.92
204,5198,9011,27,F,Y,O,O,S,1,3,2,0,20.85,9,-1,69658.95
1060,566,9102,19,M,Y,S,P,S,2,2,3,1,10.61,D,800,15723.33
558,566,9102,18,M,N,O,O,S,1,6,3,1,16.44,B,1000,3190.258
307,52,870,21,M,Y,S,P,S,1,6,3,0,14.71,9,-1,13332.96
485,566,9102,19,F,N,S,P,S,2,6,3,1,17.82,B,1340,10485.33
571,566,9102,24,F,9,O,O,S,1,7,3,0,23.49,B,900,4569.493
538,52,870,45,M,Y,S,P,S,1,1,2,3,71.93,B,1730,10385.17
2216,566,9102,23,M,Y,P,P,S,3,6,4,0,34.09,B,730,33284.62
3610,52,870,22,F,Y,S,P,S,3,6,3,0,17.56,9,-1,22010.28
89,566,9102,33,F,N,S,F,P,0,3,2,0,28.1,9,-1,27079.81
2601,52,870,21,M,Y,O,O,S,2,4,3,1,20.32,B,615,44101.36
535,52,870,17,M,N,O,O,S,1,4,3,1,12.43,B,1100,12559.58
325,52,870,18,M,Y,S,P,S,2,3,4,1,45.81,B,700,17466.5
5069,5144,S438,36,M,Y,O,O,S,1,2,2,3,150.79,9,-1,3674.622
89,52,870,28,F,Y,S,F,P,0,4,1,0,21.56,B,1815,4378.736
285,52,870,29,F,Y,G,F,P,2,4,2,0,17.18,9,-1,9022.971
2390,566,9102,19,F,N,O,O,S,1,2,3,0,12.09,9,-1,18590.56
490,566,9102,19,M,Y,O,O,S,0,1,1,0,17.09,9,-1,6413.879
375,52,870,21,F,N,O,O,S,0,1,2,0,30.76,B,900,19660.72
1121,1121,9998,35,F,Y,P,F,P,2,5,2,2,15.08,9,-1,0
2451,52,870,21,M,Y,O,O,S,3,5,4,0,34.4,9,-1,32262.5
3417,52,870,18,M,N,O,O,S,2,5,4,0,10.34,G,1245,37064.95
2257,52,870,18,M,Y,O,O,S,2,2,2,1,19.46,9,-1,27181.1
490,566,9102,22,F,Y,S,P,S,0,1,1,0,26.53,B,825,6413.879
1035,566,9102,21,F,N,O,O,S,2,5,3,0,19.38,P,1100,8733.318
430,566,9102,22,F,Y,P,P,P,0,1,2,0,32.66,B,910,26229.3
179,52,870,23,F,Y,S,P,S,2,7,4,1,22.89,9,-1,10370.64
53,52,870,30,M,Y,P,F,P,1,6,2,0,18.61,9,-1,409.389
2752,52,870,21,M,Y,O,O,S,1,3,5,1,30.38,9,-1,47392.18
4001,52,S623,23,F,Y,O,O,S,3,5,3,1,16.46,D,1100,45185.37
268,566,9102,31,M,Y,P,F,P,1,6,2,0,3.97,D,1900,20302.83
413,566,9102,21,F,Y,G,P,S,1,7,2,0,51.32,B,1030,26875.52
363,363,5638,58,F,N,O,O,P,1,2,2,0,8.52,W,845,0
2427,52,A351,20,M,Y,G,P,S,4,2,7,2,20.7,B,900,28193.22
1040,566,9102,18,F,N,O,O,S,3,4,4,1,70.96,B,1100,9997.266
532,566,9102,20,F,N,O,O,S,2,7,6,0,41.41,B,1000,8084.045
571,52,870,21,M,Y,G,P,S,2,6,5,0,20.95,G,710,26128.61
2101,566,9102,20,F,Y,S,P,S,2,5,3,2,30.73,9,-1,36101.38
498,566,9102,23,M,Y,G,P,S,2,6,5,0,24.04,9,-1,6256.161
585,566,9102,18,M,Y,S,P,S,3,3,3,2,44.3,D,1510,11945.98
516,566,9102,18,M,Y,O,O,S,2,6,3,0,19.06,B,1030,5751.622
2057,52,870,19,F,Y,G,P,S,2,5,5,0,13.79,G,600,27886.65
1074,566,9102,22,M,N,O,O,S,1,5,4,0,8.5,9,-1,14089.68
3469,52,870,19,M,Y,O,O,S,1,4,5,2,12.2,G,645,35696.14
3418,52,870,19,M,N,O,O,S,3,4,4,0,4.94,J,845,36194.2
494,566,9102,25,M,Y,O,O,S,3,7,5,1,22.45,D,900,3660.727
3371,3357,E0319,51,F,Y,O,O,S,1,2,2,1,16.2,P,830,4635.488
4038,5188,735,27,M,Y,M,F,P,3,6,3,0,23.73,9,-1,33025.98
2418,566,9102,18,F,Y,O,O,S,3,4,3,0,49.83,9,-1,18064.31
2134,52,870,25,M,Y,O,O,S,3,6,5,0,25.05,9,-1,26447.88
4001,52,870,19,M,Y,S,P,S,3,6,3,1,29.69,G,1000,45185.37
1034,566,9102,21,M,Y,S,P,S,4,7,4,0,19.27,9,-1,7650.569
3646,38,9031,60,F,Y,P,F,P,3,6,3,0,59.03,9,-1,25704.54
3448,38,9031,20,M,Y,O,O,S,2,7,3,2,36.52,G,550,33102.77
176,371,9261,24,M,Y,O,O,S,2,4,3,0,16.18,B,730,16447.15
588,69,9103,23,M,N,P,P,P,2,4,4,0,19.46,B,955,20683.12
22,69,9103,28,F,Y,P,P,S,1,4,2,0,27.88,9,-1,2096.96
371,371,9261,34,F,Y,O,O,S,1,7,2,0,7.15,W,840,0
2210,69,9103,18,F,Y,O,O,S,3,4,3,1,25.09,B,700,24869.81
67,69,9103,22,M,Y,O,O,S,0,1,1,0,53.87,W,905,1897.934
40,69,9103,35,F,Y,P,P,S,0,7,1,0,16.29,9,-1,1461.703
50,69,9103,25,F,Y,O,O,S,0,2,2,0,17.42,9,-1,1587.002
151,69,9103,22,M,Y,O,O,S,2,3,4,1,28.94,9,-1,9003.53
37,69,9103,23,F,Y,O,O,S,0,1,2,0,28.05,W,920,2422.427
21,69,9103,21,M,Y,O,O,S,0,1,2,0,28.56,W,955,2044.52
51,69,9103,25,F,Y,O,O,S,1,2,1,0,21,W,1145,1268.754
298,371,9261,38,M,Y,P,F,P,2,4,2,1,13.72,9,-1,15601.68
325,69,9103,19,M,Y,O,O,S,1,5,2,0,12.63,B,900,16080.03
336,69,9103,26,F,Y,9,J,P,2,7,3,0,21.46,9,-1,17343.45
349,371,9261,29,F,Y,O,O,S,1,4,3,2,36.23,B,745,9255.439
158,69,9103,19,F,N,O,O,S,2,5,3,2,25.3,9,-1,8900.282
1222,1199,E0297,47,F,Y,M,F,P,1,7,1,1,9.08,9,-1,4729.207
212,69,9103,20,F,Y,O,O,S,1,4,3,0,17.26,B,1100,7120.26
42,69,9103,20,M,N,O,O,S,0,5,2,0,33.82,W,1200,1572.915
596,236,9291,27,M,Y,S,F,P,3,7,4,1,16.15,9,-1,8562.054
368,371,9261,17,F,N,O,O,S,1,3,3,1,35.28,B,1105,2420.402
3429,371,9261,22,F,Y,G,P,S,3,4,4,0,22.24,9,-1,19000.3
350,69,9103,48,F,Y,P,F,P,5,5,2,0,16.1,9,-1,14875.9
3711,371,9261,25,F,Y,S,P,S,2,4,3,0,20.59,9,-1,3987.914
322,69,9103,28,M,Y,O,O,S,2,5,3,0,25.43,B,720,13094.37
263,69,9103,22,F,Y,S,P,S,2,3,3,0,19.72,9,-1,6784.424
588,278,826,47,F,Y,G,F,P,2,4,2,2,17.65,9,-1,16994.92
2570,371,9261,49,F,Y,O,O,S,1,4,2,0,20.27,D,615,44313.04
586,69,9103,23,F,N,O,O,S,1,6,4,0,7.04,9,-1,18297.73
337,69,9103,19,F,N,O,O,S,2,4,5,1,58.94,B,1200,16120.24
579,371,384,19,M,Y,S,P,S,1,4,5,0,21.95,B,800,32093.78
3193,371,9261,45,M,Y,S,P,P,2,6,2,2,21.71,9,-1,22220.68
3682,69,9103,23,F,N,O,O,S,1,2,3,0,59.59,B,805,17695.96
413,69,9103,27,F,N,O,O,P,2,6,6,0,16.62,9,-1,14209.78
3643,371,9261,36,M,Y,G,P,P,1,2,2,1,27.46,9,-1,18279.11
370,69,9103,19,M,Y,O,O,S,1,6,4,0,31.57,B,900,22422.21
460,69,9103,25,F,N,O,O,S,1,7,4,0,15.88,9,-1,17732.59
3668,69,9103,74,M,Y,O,O,P,2,7,2,0,10.34,9,-1,20854.79
3714,69,9103,20,M,N,O,O,S,1,3,4,2,70.86,B,1200,33035.63
1068,1068,9998,26,F,Y,O,O,P,1,5,6,0,40.85,9,-1,0
3151,371,9261,21,F,Y,G,P,S,6,6,6,0,33.82,D,700,36342.71
336,69,9103,18,F,Y,S,P,S,3,7,3,1,32.1,B,810,17343.45
3677,69,9103,20,F,Y,G,P,S,2,6,3,1,27.06,B,715,29135.53
442,69,9103,33,M,Y,P,F,P,1,3,2,0,28.05,B,1350,12288.19
3863,3851,845,35,F,Y,O,O,S,1,2,2,2,28.63,9,-1,1345.355
347,69,9103,19,F,Y,G,P,S,2,4,3,0,36.63,B,815,15744.05
313,69,9103,51,M,Y,P,F,P,1,5,3,1,95.3,B,1830,11768.9
110,69,9103,21,M,Y,S,P,S,1,2,4,0,56.48,B,1000,5461.931
38,69,9103,23,M,Y,S,P,S,1,1,2,0,30.18,W,940,1916.098
450,69,9103,25,F,Y,P,P,S,1,3,2,0,36.71,B,815,13409.07
2435,69,9103,43,F,Y,P,P,P,2,7,2,3,30.37,D,930,34858.87
210,69,9103,19,F,Y,S,P,S,1,4,4,0,76.92,B,900,5671.636
3716,3716,9998,39,F,Y,P,F,P,1,3,2,2,31.69,9,-1,0
3864,69,9103,31,M,Y,P,F,P,2,6,2,1,34.3,D,1200,22704.18
2022,371,9261,20,M,Y,O,O,S,2,4,3,1,21.12,9,-1,11961.76
3719,371,384,21,M,N,O,O,S,1,4,3,0,20.71,B,900,22523.63
1197,69,9103,25,F,Y,P,P,S,1,4,2,1,20.53,B,1015,50514.16
443,69,9103,30,M,Y,O,O,S,1,4,2,0,17.31,9,-1,13299.74
71,69,9103,18,F,N,O,O,S,0,1,1,0,4.49,W,950,1132.351
72,69,9103,29,F,Y,P,P,S,1,6,2,0,31.42,9,-1,1595.176
46,69,9103,29,M,Y,P,F,S,0,3,2,0,17.57,9,-1,1297.744
383,371,9261,20,F,Y,S,P,S,2,6,4,0,30.76,9,-1,3944.377
176,391,9092,38,M,Y,O,O,S,0,4,2,2,16.39,9,-1,12288.25
3517,391,9092,17,M,N,O,O,S,2,7,3,1,65.99,B,930,16540.49
397,391,9092,37,F,Y,G,F,P,2,4,2,0,3.8,9,-1,1271.585
2098,391,9092,18,F,Y,S,P,P,1,7,3,0,32.67,P,1805,9253.344
2449,391,9092,21,F,Y,O,O,S,2,3,3,0,43.33,D,715,21996.48
575,391,9092,21,F,Y,S,P,S,3,2,3,0,15.2,9,-1,28672.46
2352,391,9092,22,F,N,S,P,S,1,4,4,0,27.37,9,-1,8705.209
222,391,9092,36,M,Y,P,F,P,0,4,2,0,18.44,9,-1,18599.49
588,391,9092,20,F,Y,O,O,S,2,4,3,0,14.33,B,700,15791.27
3686,391,9092,20,F,Y,O,O,S,2,7,3,0,41.2,B,1000,28113.5
3375,391,9092,26,M,Y,S,F,P,1,3,2,0,9.5,9,-1,31397.11
385,391,9092,18,F,Y,S,P,S,1,2,5,0,38.68,9,-1,7559.203
398,391,C405,25,F,Y,O,O,S,1,1,2,0,8.82,W,1130,1773.034
2252,391,9092,18,M,Y,O,O,S,2,5,3,0,35.81,P,1200,14123.17
3677,391,9092,22,M,Y,P,P,S,2,6,5,0,29.85,D,1405,34559.34
46,391,9092,31,M,Y,P,P,P,1,5,2,0,19.48,9,-1,17012.15
3385,391,9092,19,M,Y,9,P,S,3,7,3,1,28.37,P,1100,24115.73
2101,391,9092,20,F,Y,S,P,S,1,4,3,0,28.26,B,830,10403.48
3653,391,9092,40,M,N,G,F,S,0,1,2,1,61.82,B,1505,28097.82
3811,3339,A133,22,M,Y,O,O,S,2,7,3,1,14.74,9,-1,23371.22
2398,391,9092,34,M,Y,P,F,P,1,3,4,0,26.24,9,-1,16796.57
2122,391,9092,18,M,N,O,O,S,2,7,4,0,25.55,P,800,4798.428
