HHKey_,PsKey_,psage,psuniversityinvolvednumyears,personstatusgrad,personstatustime,hhlivingsituation,First-year,psmainmodefalltypicalaggr,HomeToMainCampusKM,Segment,hhsize,hhnumyoungerthan18,hhnumolderorequalto18,hhcarnumber,psdrivinglicenseownerflag,hhincomelevelshortname
22030,206569,21,2,UG,FT,Live with family/parents,FALSE,Regional Transit,39,5,3,0,3,1,0,unknown
22031,206719,20,3,UG,FT,Live with family/parents,FALSE,Local Transit,34.5,5,4,1,3,1,1,unknown
22032,207351,23,6,UG,FT,Live with roommates,FALSE,Local Transit,44.25,6,5,0,5,3,1,household_income_level__60000_89999
22033,206898,19,1,UG,FT,Live with roommates,FALSE,Walk,1,6,3,0,3,0,0,unknown
22034,207191,23,2,UG,FT,Live with family/parents,FALSE,Regional Transit,25.25,5,3,0,3,2,1,unknown
22035,207256,18,0,UG,FT,Live with roommates,TRUE,Local Transit,4,2,3,0,3,0,0,unknown
22036,206588,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,11.5,5,6,2,4,1,0,household_income_level__i_dont_know
22037,206742,21,1,UG,FT,Live with family/parents,FALSE,Local Transit,7,5,3,1,2,0,0,household_income_level__0_29999
22038,207381,20,3,Other,Other,Live alone,FALSE,Walk,2,0,1,0,1,0,0,household_income_level__0_29999
22039,206914,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,8.75,5,4,1,3,2,1,household_income_level__90000_119999
22040,207273,19,1,UG,FT,Live with roommates,FALSE,Walk,0.25,6,1,0,1,0,1,unknown
22041,207216,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,22.25,5,3,0,3,1,1,household_income_level__30000_59999
22042,207387,22,4,UG,FT,Live with family/parents,FALSE,Local Transit,27.75,5,6,1,5,2,0,unknown
22043,206760,18,0,UG,FT,Live with family/parents,TRUE,Regional Transit,26.5,1,3,1,2,1,1,household_income_level__i_dont_know
22044,206622,20,2,UG,FT,Live with family/parents,FALSE,Rideshare,15.75,5,6,0,6,2,1,household_income_level__60000_89999
22045,207280,44,2,UG,PT,Live with family/parents,FALSE,Solo Driver,24.25,7,3,0,3,3,1,household_income_level__150000_179999
22046,207234,22,3,UG,FT,Live with roommates,FALSE,Walk,0.75,6,2,0,2,0,0,household_income_level__0_29999
22047,206941,21,2,UG,FT,Live with family/parents,FALSE,Local Transit,14.5,5,3,0,3,1,1,household_income_level__i_dont_know
22048,206958,21,3,UG,FT,Live with family/parents,FALSE,Regional Transit,35.25,5,4,0,4,1,1,unknown
22049,207422,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,21.5,5,4,1,3,3,1,household_income_level__60000_89999
22050,206767,19,0,UG,FT,Live with family/parents,TRUE,Local Transit,15.75,1,2,0,2,0,1,unknown
22051,206655,20,1,UG,PT,Live with family/parents,FALSE,Walk,1.25,7,5,1,4,1,0,unknown
22052,207247,25,0,Grad,FT,Live alone,TRUE,Walk,0.5,10,1,0,1,1,1,unknown
22053,206707,22,3,UG,FT,Live with roommates,FALSE,Walk,0.25,6,1,0,1,0,1,household_income_level__0_29999
22054,206791,31,0,Other,Other,Live with roommates,TRUE,Walk,3.75,0,3,0,3,0,0,unknown
22055,207253,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,15,5,3,0,3,1,1,unknown
22056,207288,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,15.75,5,3,0,3,1,1,household_income_level__90000_119999
22057,206983,34,3,UG,PT,Live alone,FALSE,Local Transit,2.5,8,1,0,1,0,1,household_income_level__60000_89999
22058,207445,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,25.5,5,5,0,5,3,1,household_income_level__i_dont_know
22059,206715,25,3,UG,FT,Live with family/parents,FALSE,Other,17,5,4,0,4,5,1,unknown
22060,206989,45,3,UG,PT,Live with family/parents,FALSE,Regional Transit,24,7,4,0,4,3,1,unknown
22061,206811,19,1,UG,FT,Live with family/parents,FALSE,Regional Transit,42.5,5,8,3,5,2,0,household_income_level__0_29999
22062,207307,20,1,UG,FT,Live alone,FALSE,Solo Driver,20.75,6,1,0,1,3,1,household_income_level__0_29999
22063,207272,46,1,UG,FT,Live with family/parents,FALSE,Regional Transit,28,5,2,0,2,1,1,household_income_level__30000_59999
22064,207475,19,1,UG,FT,Live with roommates,FALSE,Walk,0.75,6,4,0,4,0,1,household_income_level__0_29999
22065,206721,35,3,UG,FT,Live with roommates,FALSE,Local Transit,6.75,6,2,0,2,0,1,household_income_level__30000_59999
22066,207011,19,0,UG,FT,Live with family/parents,TRUE,Local Transit,29.75,1,4,1,3,1,0,unknown
22067,207498,30,0,Grad,FT,Live with partner,TRUE,Walk,0.75,10,2,0,2,0,1,household_income_level__0_29999
