HHKey_,PsKey_,psage,psuniversityinvolvednumyears,personstatusgrad,personstatustime,hhlivingsituation,First-year,psmainmodefalltypicalaggr,HomeToMainCampusKM,Segment,hhsize,hhnumyoungerthan18,hhnumolderorequalto18,hhcarnumber,psdrivinglicenseownerflag,hhincomelevelshortname
6479,20748,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,42.5,5,2,0,2,1,0,unknown
6480,19922,21,4,UG,FT,Live with family/parents,FALSE,Local Transit,6.75,5,5,1,4,1,1,unknown
6481,19966,19,1,UG,FT,Live with roommates,FALSE,Local Transit,2.75,6,3,0,3,0,1,household_income_level__i_dont_know
6482,20412,28,1,Grad,FT,Live alone,FALSE,Walk,0.75,10,1,0,1,0,0,household_income_level__0_29999
6483,20925,18,0,UG,FT,Live with family/parents,TRUE,Other,26.5,1,5,0,5,2,0,unknown
6484,19747,18,0,UG,FT,Live with family/parents,TRUE,Walk,11.25,1,4,1,3,1,0,unknown
6485,20761,19,0,UG,FT,Live with family/parents,TRUE,Local Transit,14.25,1,3,0,3,1,0,household_income_level__0_29999
6486,20932,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,2.75,5,5,1,4,1,0,household_income_level__30000_59999
6487,19952,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,10.75,5,3,0,3,1,1,unknown
6488,20418,19,2,UG,FT,Live with family/parents,FALSE,Regional Transit,31.25,5,4,0,4,2,1,unknown
6489,19986,25,5,UG,FT,Live alone,FALSE,Bike,2.5,6,1,0,1,2,1,household_income_level__0_29999
6490,20779,20,1,UG,FT,Live with family/parents,FALSE,Local Transit,7.75,5,7,1,6,2,1,household_income_level__30000_59999
6491,19772,25,0,Grad,FT,Live with family/parents,TRUE,Local Transit,17,9,4,0,4,2,1,unknown
6492,19992,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,26,1,5,2,3,3,1,unknown
6493,20940,18,0,UG,FT,Live with family/parents,TRUE,Regional Transit,25,1,4,0,4,2,0,unknown
6494,20444,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,24.5,5,3,0,3,2,0,household_income_level__90000_119999
6495,19797,21,2,UG,FT,Live with family/parents,FALSE,Local Transit,7,5,5,2,3,1,0,unknown
6496,20820,22,4,UG,FT,Live with family/parents,FALSE,Local Transit,3.5,5,3,1,2,1,1,household_income_level__30000_59999
6497,19970,24,0,UG,FT,Live with partner,TRUE,Regional Transit,58.75,2,2,0,2,0,1,unknown
6498,20968,29,7,Grad,FT,Live with partner,FALSE,Walk,3.25,10,2,0,2,0,1,unknown
6499,20038,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,11.5,5,3,0,3,2,0,household_income_level__90000_119999
6500,20838,19,1,UG,FT,Live with roommates,FALSE,Walk,0.25,6,5,0,5,4,1,household_income_level__120000_149999
6501,19827,23,1,UG,PT,Live with family/parents,FALSE,Local Transit,14.5,7,6,2,4,0,0,household_income_level__60000_89999
6502,20464,20,4,UG,PT,Live with roommates,FALSE,Rideshare,1.75,8,2,0,2,1,1,household_income_level__i_dont_know
6503,19977,18,0,UG,FT,Live with family/parents,TRUE,Regional Transit,26.5,1,3,0,3,2,1,household_income_level__60000_89999
6504,21032,21,3,UG,FT,Live alone,FALSE,Walk,1,6,1,0,1,0,0,household_income_level__i_dont_know
6505,20867,19,1,UG,FT,Live with roommates,FALSE,Local Transit,0.75,6,5,0,5,0,0,unknown
6506,20056,35,0,Grad,FT,Live alone,TRUE,Bike,3.5,10,1,0,1,1,1,unknown
6507,19861,30,0,Grad,FT,Live with family/parents,TRUE,Local Transit,13.25,9,2,0,2,1,1,unknown
6508,20477,23,0,UG,FT,Live with roommates,TRUE,Local Transit,10.5,2,4,0,4,0,0,household_income_level__i_dont_know
6509,20000,20,2,UG,FT,Live with roommates,FALSE,Local Transit,6,6,3,0,3,0,0,household_income_level__0_29999
6510,21039,19,1,UG,FT,Live with roommates,FALSE,Local Transit,5,6,3,0,3,0,1,household_income_level__i_dont_know
6511,20065,21,3,UG,FT,Live with partner,FALSE,Rideshare,1.25,6,2,0,2,1,1,household_income_level__210000_239999
6512,19891,24,6,Grad,FT,Live with roommates,FALSE,Local Transit,13,10,2,0,2,1,0,unknown
6513,20897,39,1,Grad,FT,Live with partner,FALSE,Local Transit,6.25,10,5,3,2,0,1,household_income_level__30000_59999
6514,21046,20,1,UG,FT,Live with roommates,FALSE,Local Transit,4.5,6,2,0,2,0,1,unknown
6515,20483,20,0,UG,FT,Live with roommates,TRUE,Local Transit,2.5,2,3,0,3,1,0,household_income_level__0_29999
6516,20018,18,1,UG,FT,Live with family/parents,FALSE,Local Transit,1.25,5,4,1,3,2,0,unknown
6517,20076,23,4,UG,FT,Live with family/parents,FALSE,Bike,3,5,3,0,3,0,0,household_income_level__30000_59999
6518,19903,18,0,UG,PT,Live with roommates,TRUE,Walk,0.5,4,2,0,2,0,1,household_income_level__120000_149999
6519,21052,24,3,Grad,FT,Live with roommates,FALSE,Walk,1,10,2,0,2,0,1,unknown
6520,20927,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,4.5,5,4,0,4,2,0,unknown
6521,20489,22,0,Other,Other,Live with roommates,TRUE,Local Transit,4,0,3,0,3,0,0,household_income_level__i_dont_know
6522,20042,23,6,UG,PT,Live with family/parents,FALSE,Local Transit,2.75,7,4,0,4,2,0,unknown
6523,20083,37,0,Other,Other,Live with family/parents,TRUE,Local Transit,332,0,3,1,2,2,1,household_income_level__90000_119999
6524,20950,27,4,Grad,FT,Live alone,FALSE,Local Transit,4.25,10,1,0,1,0,1,household_income_level__30000_59999
6525,19909,28,8,UG,FT,Live alone,FALSE,Local Transit,20.25,6,1,0,1,0,1,household_income_level__0_29999
6526,20049,21,3,UG,FT,Live with family/parents,FALSE,Regional Transit,24.5,5,3,0,3,2,0,unknown
6527,20495,21,0,UG,FT,Live with roommates,TRUE,Local Transit,5.5,2,3,0,3,0,0,unknown
6528,20099,22,0,Grad,FT,Live with roommates,TRUE,Walk,0.75,10,1,0,1,0,1,household_income_level__0_29999
6529,21076,20,2,UG,FT,Live with family/parents,FALSE,Solo Driver,39,5,5,0,5,5,1,household_income_level__180000_209999
6530,20956,25,1,Grad,PT,Live alone,FALSE,Solo Driver,5,12,1,0,1,1,1,household_income_level__60000_89999
6531,19915,17,0,UG,FT,Live with roommates,TRUE,Walk,0.5,2,2,1,1,0,1,household_income_level__240000_plus
6532,20058,39,9,UG,FT,Live alone,FALSE,Local Transit,6.5,6,1,0,1,0,1,household_income_level__60000_89999
6533,20531,21,0,UG,FT,Live with roommates,TRUE,Bike,1,2,8,0,8,0,0,household_income_level__i_dont_know
6534,20108,25,2,Grad,FT,Live with family/parents,FALSE,Solo Driver,16.5,9,5,2,3,4,1,unknown
6535,20073,16,0,UG,FT,Live with family/parents,TRUE,Local Transit,16.5,1,6,4,2,0,0,household_income_level__0_29999
6536,19937,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,9.25,5,6,1,5,1,0,household_income_level__0_29999
6537,20965,27,1,Grad,FT,Live alone,FALSE,Walk,1.75,10,1,0,1,1,1,household_income_level__30000_59999
6538,21141,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,10.25,5,5,1,4,2,0,household_income_level__120000_149999
6539,20600,21,0,UG,FT,Live with roommates,TRUE,Walk,0.75,2,6,0,6,0,0,unknown
6540,20971,21,2,UG,FT,Live with family/parents,FALSE,Local Transit,3.75,5,4,0,4,1,0,unknown
6541,20109,23,0,Grad,FT,Live with roommates,TRUE,Local Transit,11.25,10,1,0,1,0,0,unknown
6542,21172,58,4,Grad,PT,Live alone,FALSE,Local Transit,10.75,12,1,0,1,1,1,unknown
6543,20126,32,1,Grad,FT,Live with partner,FALSE,Local Transit,13,10,2,0,2,1,1,unknown
6544,20606,22,4,UG,FT,Live with family/parents,FALSE,Regional Transit,43.5,5,4,0,4,2,1,unknown
6545,19971,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,7.25,5,4,1,3,1,0,unknown
6546,20115,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,22.25,1,4,1,3,1,0,household_income_level__i_dont_know
6547,20995,21,3,UG,FT,Live alone,FALSE,Walk,0.5,6,1,0,1,0,0,unknown
6548,20132,30,9,Grad,PT,Live with partner,FALSE,Walk,1,12,2,0,2,1,1,unknown
6549,20675,21,0,UG,FT,Live with roommates,TRUE,Local Transit,2,2,2,0,2,0,0,household_income_level__0_29999
6550,21190,18,0,UG,FT,Live with family/parents,TRUE,Regional Transit,52,1,4,0,4,2,0,household_income_level__i_dont_know
6551,20161,21,2,UG,FT,Live with family/parents,FALSE,Rideshare,3,5,5,0,5,3,0,unknown
6552,19994,24,6,UG,FT,Live with family/parents,FALSE,Local Transit,13.5,5,2,0,2,1,1,household_income_level__90000_119999
6553,20138,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,17.5,5,6,1,5,3,0,household_income_level__90000_119999
6554,21001,20,1,UG,FT,Live alone,FALSE,Walk,0.75,6,1,0,1,0,1,unknown
6555,21215,18,0,UG,FT,Live with roommates,TRUE,Walk,0.5,2,4,1,3,1,1,household_income_level__0_29999
6556,20690,22,4,UG,FT,Live with roommates,FALSE,Walk,1.25,6,3,0,3,0,0,unknown
6557,20001,20,1,UG,FT,Live with family/parents,FALSE,Local Transit,14.25,5,3,0,3,1,0,household_income_level__i_dont_know
6558,21008,28,1,Grad,FT,Live with partner,FALSE,Local Transit,11.75,10,2,0,2,1,1,household_income_level__i_dont_know
6559,20175,18,1,UG,FT,Live with family/parents,FALSE,Local Transit,13.5,5,5,0,5,1,0,unknown
6560,20179,22,4,UG,PT,Live with family/parents,FALSE,Bike,2.75,7,4,0,4,0,0,household_income_level__i_dont_know
6561,21238,30,1,Grad,FT,Live alone,FALSE,Walk,1,10,1,0,1,0,1,household_income_level__240000_plus
6562,20696,26,8,Other,Other,Live alone,FALSE,Walk,1,0,1,0,1,1,1,household_income_level__30000_59999
6563,20024,22,5,UG,FT,Live with partner,FALSE,Walk,0.5,6,2,0,2,0,0,unknown
6564,21016,31,3,Grad,FT,Live with partner,FALSE,Walk,1.5,10,2,0,2,1,1,unknown
6565,20226,18,1,UG,FT,Live with family/parents,FALSE,Regional Transit,43.5,5,3,0,3,1,0,unknown
6566,21244,21,3,UG,FT,Live with family/parents,FALSE,Rideshare,16,5,4,0,4,2,1,unknown
6567,20036,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,21.25,5,4,0,4,1,0,household_income_level__60000_89999
6568,21023,22,4,UG,FT,Live with roommates,FALSE,Walk,0.5,6,2,0,2,0,1,unknown
6569,21270,23,2,UG,FT,Live with family/parents,FALSE,Local Transit,6.25,5,3,0,3,1,1,unknown
6570,20060,22,2,UG,PT,Live with family/parents,FALSE,Local Transit,13.5,7,4,1,3,0,0,household_income_level__0_29999
6571,20244,19,1,UG,FT,Live with roommates,FALSE,Walk,1.25,6,3,0,3,0,1,household_income_level__240000_plus
6572,20204,21,3,UG,FT,Live with roommates,FALSE,Walk,1,6,2,0,2,0,1,unknown
6573,21288,25,7,UG,FT,Live with family/parents,FALSE,Local Transit,1.25,5,4,0,4,1,0,household_income_level__60000_89999
6574,21030,18,0,UG,FT,Live with roommates,TRUE,Local Transit,1.25,2,2,0,2,0,0,unknown
6575,20703,19,0,UG,FT,Live with roommates,TRUE,Local Transit,2.5,2,3,0,3,0,1,household_income_level__0_29999
6576,20084,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,9.25,1,5,1,4,1,0,household_income_level__0_29999
6577,20215,29,4,Grad,FT,Live with roommates,FALSE,Walk,1.25,10,2,0,2,0,0,household_income_level__0_29999
6578,20262,19,1,UG,FT,Live with roommates,FALSE,Walk,1,6,3,0,3,0,1,household_income_level__i_dont_know
6579,21310,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,16.25,5,4,1,3,2,1,unknown
6580,20731,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,12.25,1,2,0,2,0,0,unknown
6581,20113,18,0,UG,FT,Live with family/parents,TRUE,Rideshare,6.5,1,6,1,5,3,0,household_income_level__i_dont_know
6582,20229,16,1,UG,FT,Live with roommates,FALSE,Walk,0.75,6,2,1,1,2,1,household_income_level__180000_209999
6583,20268,24,1,Grad,FT,Live with roommates,FALSE,Walk,0.25,10,2,0,2,0,1,household_income_level__0_29999
6584,20744,23,0,Grad,FT,Live with roommates,TRUE,Bike,1,10,2,0,2,0,1,unknown
6585,20146,19,0,UG,FT,Live with family/parents,TRUE,Local Transit,10.75,1,4,0,4,0,0,household_income_level__0_29999
6586,21036,22,0,Other,Other,Live with family/parents,TRUE,Regional Transit,15.25,0,3,0,3,2,1,household_income_level__120000_149999
6587,20290,21,3,UG,PT,Live with partner,FALSE,Local Transit,5.5,8,2,0,2,1,0,household_income_level__0_29999
6588,20241,31,7,Grad,FT,Live with roommates,FALSE,Walk,1.75,10,2,0,2,0,1,unknown
6589,20757,21,0,UG,FT,Live alone,TRUE,Bike,1.75,2,1,0,1,0,0,unknown
6590,20170,20,2,UG,FT,Live with roommates,FALSE,Walk,0.75,6,3,0,3,0,1,household_income_level__0_29999
6591,20248,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,21,5,4,0,4,2,0,unknown
6592,20297,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,13.25,1,4,1,3,1,0,unknown
6593,21064,19,1,UG,FT,Live with family/parents,FALSE,Rideshare,2.5,5,5,2,3,2,0,household_income_level__i_dont_know
6594,21317,20,2,UG,FT,Live with roommates,FALSE,Walk,0.5,6,4,0,4,0,0,household_income_level__i_dont_know
6595,20188,22,3,UG,FT,Live with roommates,FALSE,Walk,1.5,6,4,0,4,0,1,unknown
6596,20764,25,0,Grad,FT,Live with roommates,TRUE,Bike,2.25,10,2,0,2,0,1,household_income_level__0_29999
6597,20277,20,1,UG,FT,Live with partner,FALSE,Local Transit,6.75,6,1,0,1,0,0,unknown
6598,21108,29,7,Grad,FT,Live alone,FALSE,Local Transit,2.5,10,1,0,1,0,1,household_income_level__30000_59999
6599,21341,18,0,UG,FT,Live with family/parents,TRUE,Rideshare,26.75,1,4,1,3,1,0,unknown
6600,20776,30,2,Grad,FT,Live with partner,FALSE,Local Transit,3.5,10,2,0,2,1,1,household_income_level__30000_59999
6601,20213,22,4,UG,FT,Live with family/parents,FALSE,Local Transit,3.75,5,3,0,3,1,0,household_income_level__30000_59999
6602,20284,57,4,UG,FT,Live alone,FALSE,Walk,1.5,6,1,0,1,0,1,unknown
6603,21116,20,2,UG,FT,Live alone,FALSE,Local Transit,11.75,6,5,2,3,2,1,household_income_level__0_29999
6604,20782,18,0,UG,FT,Live with family/parents,TRUE,Solo Driver,20.25,1,4,0,4,3,1,unknown
6605,21382,20,6,Grad,FT,Live with family/parents,FALSE,Regional Transit,24.25,9,3,0,3,2,1,household_income_level__60000_89999
6606,20311,23,3,UG,FT,Live with roommates,FALSE,Walk,8.75,6,2,0,2,0,1,household_income_level__0_29999
6607,20291,28,2,Grad,FT,Live with roommates,FALSE,Local Transit,3,10,2,0,2,2,1,household_income_level__30000_59999
6608,21411,22,0,UG,FT,Live alone,TRUE,Walk,1,2,1,0,1,0,1,unknown
6609,21122,25,7,Grad,FT,Live with family/parents,FALSE,Local Transit,12.25,9,4,1,3,0,1,unknown
6610,20335,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,31,5,3,1,2,1,1,household_income_level__60000_89999
6611,20812,41,4,Grad,PT,Live with partner,FALSE,Solo Driver,21.5,12,3,1,2,1,1,household_income_level__90000_119999
6612,21417,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,1.25,5,6,3,3,2,1,household_income_level__60000_89999
6613,20231,21,0,Grad,FT,Live with roommates,TRUE,Local Transit,3.5,10,5,0,5,0,1,unknown
6614,20346,22,,UG,FT,,TRUE,Local Transit,26.5,2,5,1,4,3,0,household_income_level__90000_119999
6615,20302,20,0,UG,FT,Live with roommates,TRUE,Walk,0.75,2,4,0,4,0,0,household_income_level__i_dont_know
6616,21128,19,1,UG,FT,Live with partner,FALSE,Rideshare,43,6,2,0,2,1,1,household_income_level__60000_89999
6617,20818,28,0,Grad,FT,Live with roommates,TRUE,Local Transit,5.25,10,2,0,2,0,0,household_income_level__60000_89999
6618,21453,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,16.25,5,4,1,3,0,1,household_income_level__0_29999
6619,21135,73,7,Grad,PT,Live alone,FALSE,Walk,2.25,12,1,0,1,0,1,unknown
6620,20259,33,0,Grad,FT,Live with partner,TRUE,Local Transit,4.75,10,3,1,2,1,1,unknown
6621,20353,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,14.25,5,3,0,3,3,1,household_income_level__120000_149999
6622,20328,24,1,Grad,FT,Live with roommates,FALSE,Walk,2.5,10,2,0,2,0,1,household_income_level__0_29999
6623,20266,25,7,Grad,FT,Live alone,FALSE,Local Transit,1.75,10,1,0,1,0,1,household_income_level__0_29999
6624,20824,24,4,Grad,FT,Live with family/parents,FALSE,Local Transit,15.75,9,5,0,5,1,0,unknown
6625,21460,19,1,UG,FT,Live with family/parents,FALSE,Regional Transit,56.75,5,3,1,2,2,1,unknown
6626,21164,22,4,UG,FT,Live with family/parents,FALSE,Regional Transit,36,5,3,0,3,2,0,unknown
6627,20395,21,3,UG,FT,Live with family/parents,FALSE,Rideshare,4.25,5,4,0,4,3,1,household_income_level__90000_119999
6628,20334,22,4,Grad,FT,Live with partner,FALSE,Local Transit,,10,2,0,2,0,1,household_income_level__0_29999
6629,20273,21,3,UG,FT,Live with roommates,FALSE,Walk,1,6,2,0,2,0,1,unknown
6630,21466,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,16.5,1,6,1,5,2,1,unknown
6631,20831,26,0,Grad,FT,Live with roommates,TRUE,Walk,1.5,10,2,0,2,0,1,unknown
6632,21189,19,0,UG,FT,Live with family/parents,TRUE,Local Transit,2.5,1,3,1,2,1,0,unknown
6633,20402,22,4,UG,FT,Live with family/parents,FALSE,Local Transit,9.75,5,5,0,5,1,1,unknown
6634,20279,17,0,UG,FT,Live with family/parents,TRUE,Rideshare,6.5,1,5,1,4,3,1,household_income_level__i_dont_know
6635,21502,23,5,Grad,PT,Live with family/parents,FALSE,Bike,4,11,2,0,2,1,0,household_income_level__i_dont_know
6636,20347,24,1,Grad,FT,Live alone,FALSE,Walk,1.25,10,1,0,1,0,1,household_income_level__0_29999
6637,21224,20,2,UG,FT,Live with partner,FALSE,Local Transit,20.75,6,2,0,2,1,1,household_income_level__0_29999
6638,20285,21,2,UG,FT,Live with roommates,FALSE,Walk,0.75,6,3,0,3,0,0,household_income_level__0_29999
6639,20425,21,3,UG,PT,Live with roommates,FALSE,Local Transit,2.25,8,3,0,3,1,0,household_income_level__30000_59999
6640,21543,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,24.75,1,5,1,4,2,1,household_income_level__120000_149999
6641,20860,20,0,Grad,FT,Live with family/parents,TRUE,Local Transit,12,9,5,0,5,3,1,unknown
6642,21230,19,1,UG,FT,Live with family/parents,FALSE,Solo Driver,11.5,5,5,2,3,3,1,household_income_level__120000_149999
6643,20358,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,9.5,5,5,1,4,2,1,unknown
6644,20455,20,2,UG,FT,Live with family/parents,FALSE,Other,103.25,5,3,0,3,4,1,household_income_level__180000_209999
6645,20345,25,8,Grad,FT,Live alone,FALSE,Walk,0.25,10,1,0,1,0,1,household_income_level__0_29999
6646,21549,18,0,UG,FT,Live with roommates,TRUE,Walk,0.5,2,6,1,5,0,0,unknown
6647,20388,22,4,Grad,FT,Live with family/parents,FALSE,Local Transit,10.75,9,4,0,4,2,1,unknown
6648,20866,27,0,Grad,FT,Live with family/parents,TRUE,Local Transit,4.75,9,2,0,2,1,0,household_income_level__30000_59999
6649,20473,16,6,UG,PT,Live with partner,FALSE,Solo Driver,6,8,2,1,1,2,1,household_income_level__150000_179999
6650,20350,27,1,Grad,PT,Live alone,FALSE,Regional Transit,21.75,12,1,0,1,1,1,household_income_level__60000_89999
6651,21608,19,1,UG,FT,Live with family/parents,FALSE,Regional Transit,30.25,5,3,0,3,2,0,household_income_level__60000_89999
6652,20413,22,1,Grad,FT,Live with family/parents,FALSE,Regional Transit,29.75,9,6,0,6,6,1,household_income_level__i_dont_know
6653,21265,19,0,UG,FT,Live with family/parents,TRUE,Solo Driver,5.75,1,5,1,4,2,1,household_income_level__i_dont_know
6654,20873,21,0,UG,FT,Live with roommates,TRUE,Local Transit,2.75,2,4,0,4,0,0,unknown
6655,21615,18,0,UG,FT,Live alone,TRUE,Rideshare,14.25,2,1,0,1,0,0,household_income_level__i_dont_know
6656,20486,24,4,UG,FT,Live with family/parents,FALSE,Local Transit,27.75,5,4,0,4,2,0,household_income_level__i_dont_know
6657,20356,18,0,UG,FT,Live with roommates,TRUE,Bike,1.25,2,2,0,2,0,1,household_income_level__i_dont_know
6658,21271,23,5,UG,FT,Live with family/parents,FALSE,Local Transit,10,5,4,0,4,2,0,household_income_level__120000_149999
6659,20420,26,1,Grad,FT,Live with roommates,FALSE,Bike,4.25,10,2,0,2,0,1,household_income_level__30000_59999
6660,20369,25,0,Grad,FT,Live with family/parents,TRUE,Regional Transit,32.25,9,3,0,3,3,1,household_income_level__i_dont_know
6661,20880,33,0,Grad,PT,Live with partner,TRUE,Regional Transit,38.5,12,3,1,2,1,1,household_income_level__90000_119999
6662,21633,21,3,UG,FT,Live with roommates,FALSE,Walk,0.75,6,5,0,5,0,0,household_income_level__i_dont_know
6663,20492,21,3,UG,FT,Live with partner,FALSE,Local Transit,11.25,6,5,0,5,2,1,household_income_level__0_29999
6664,20375,18,0,UG,FT,Live with family/parents,TRUE,Rideshare,15.25,1,4,1,3,1,0,unknown
6665,20431,29,1,Grad,FT,Live with family/parents,FALSE,Bike,4.75,9,1,0,1,1,1,unknown
6666,21301,20,1,UG,FT,Live alone,FALSE,Walk,1.25,6,1,0,1,0,0,unknown
6667,21638,20,2,UG,FT,Live with family/parents,FALSE,Solo Driver,19.5,5,5,1,4,2,1,household_income_level__210000_239999
6668,20886,30,2,Grad,FT,Live with partner,FALSE,Walk,2.25,10,2,0,2,1,1,household_income_level__0_29999
6669,20411,19,2,UG,FT,Live with family/parents,FALSE,Local Transit,29,5,5,1,4,1,0,household_income_level__0_29999
6670,20438,20,4,UG,FT,Live with family/parents,FALSE,Local Transit,38.75,5,3,0,3,2,1,unknown
6671,21325,20,6,UG,FT,Live alone,FALSE,Local Transit,9,6,1,0,1,2,1,household_income_level__i_dont_know
6672,21691,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,13.5,5,2,0,2,1,0,unknown
6673,20499,33,0,Grad,FT,Live with roommates,TRUE,Bike,3.25,10,4,0,4,0,1,unknown
6674,20417,25,0,Grad,FT,Live with roommates,TRUE,Walk,1.75,10,3,0,3,0,1,unknown
6675,20933,27,1,Grad,FT,Live with roommates,FALSE,Local Transit,2.25,10,2,0,2,0,1,unknown
6676,20484,23,6,Grad,FT,Live with family/parents,FALSE,Local Transit,5.75,9,4,0,4,2,0,unknown
6677,21331,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,4.5,5,4,0,4,1,1,unknown
6678,21697,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,12.5,5,7,3,4,1,1,household_income_level__0_29999
6679,20523,30,4,Grad,FT,Live with partner,FALSE,Walk,1.75,10,2,0,2,0,1,unknown
6680,20945,19,1,UG,FT,Live with roommates,FALSE,Walk,0.75,6,3,0,3,1,0,unknown
6681,20509,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,3.25,1,5,0,5,2,0,household_income_level__i_dont_know
6682,20547,20,3,UG,FT,Live with family/parents,FALSE,Bike,2.25,5,3,0,3,1,0,household_income_level__i_dont_know
6683,20423,24,6,Grad,FT,Live with family/parents,FALSE,Local Transit,21.5,9,3,0,3,2,1,household_income_level__60000_89999
6684,21356,18,0,UG,FT,Live with roommates,TRUE,Walk,0.75,2,3,0,3,0,0,household_income_level__i_dont_know
6685,21703,27,5,Grad,FT,Live with partner,FALSE,Walk,1,10,2,0,2,1,1,household_income_level__150000_179999
6686,20951,25,3,Grad,FT,Live alone,FALSE,Bike,1.25,10,1,0,1,0,0,household_income_level__i_dont_know
6687,20476,19,2,UG,FT,Live with family/parents,FALSE,Solo Driver,8.5,5,3,0,3,2,1,unknown
6688,20555,20,2,UG,FT,Live with roommates,FALSE,Solo Driver,10,6,2,0,2,1,1,household_income_level__i_dont_know
6689,21374,25,2,UG,FT,Live with roommates,FALSE,Bike,1.75,6,2,0,2,2,1,unknown
6690,20515,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,6.25,5,2,0,2,1,0,unknown
6691,21710,20,3,UG,FT,Live with roommates,FALSE,Walk,0.75,6,2,0,2,0,1,household_income_level__0_29999
6692,20997,18,0,UG,FT,Live with roommates,TRUE,Other,3,2,2,0,2,0,0,household_income_level__0_29999
6693,20482,23,0,Other,Other,Live alone,TRUE,Local Transit,,0,1,0,1,0,1,unknown
6694,20583,18,1,UG,FT,Live with family/parents,FALSE,Local Transit,6,5,2,0,2,0,0,household_income_level__0_29999
6695,20546,25,0,Grad,FT,Live with partner,TRUE,Walk,1.75,10,2,0,2,2,1,household_income_level__0_29999
6696,21386,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,13,5,3,0,3,0,0,unknown
6697,21724,23,1,Grad,FT,Live with family/parents,FALSE,Local Transit,18.75,9,4,0,4,1,1,household_income_level__0_29999
6698,21014,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,6.25,5,3,0,3,1,1,unknown
6699,20488,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,24,5,5,2,3,3,1,household_income_level__0_29999
6700,20618,26,0,Grad,FT,Live alone,TRUE,Local Transit,9.5,10,1,0,1,0,0,household_income_level__0_29999
6701,20552,39,0,UG,FT,Live with roommates,TRUE,Local Transit,22,2,4,0,4,1,0,unknown
6702,21405,22,0,Grad,FT,Live with roommates,TRUE,Local Transit,0.75,10,2,0,2,0,1,household_income_level__0_29999
6703,21731,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,3.5,5,10,2,8,0,0,unknown
6704,21020,26,3,UG,FT,Live with partner,FALSE,Solo Driver,20.75,6,3,0,3,1,1,unknown
6705,20625,19,2,UG,FT,Live with family/parents,FALSE,Regional Transit,52,5,5,2,3,2,0,household_income_level__i_dont_know
6706,20494,36,4,Grad,FT,Live alone,FALSE,Bike,4,10,1,0,1,0,1,household_income_level__30000_59999
6707,21412,24,6,UG,FT,Live with partner,FALSE,Local Transit,8,6,2,0,2,0,0,unknown
6708,20535,19,2,UG,FT,Live with family/parents,FALSE,Local Transit,13,5,3,1,2,1,0,household_income_level__0_29999
6709,21853,20,2,UG,FT,Live with roommates,FALSE,Walk,1,6,4,0,4,0,0,household_income_level__0_29999
6710,20631,23,5,UG,FT,Live alone,FALSE,Walk,1.25,6,1,0,1,0,1,household_income_level__0_29999
6711,20542,18,0,UG,FT,Live with roommates,TRUE,Walk,1.25,2,2,0,2,0,0,unknown
6712,21423,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,6.75,5,4,0,4,1,1,unknown
6713,21859,23,5,Grad,FT,Live with family/parents,FALSE,Local Transit,19.5,9,3,0,3,1,1,unknown
6714,20560,23,1,Grad,FT,Live with roommates,FALSE,Walk,1.5,10,4,0,4,0,1,unknown
6715,20565,23,2,UG,FT,Live with family/parents,FALSE,Solo Driver,24,5,6,1,5,2,1,household_income_level__0_29999
6716,20637,28,2,Grad,FT,Live with partner,FALSE,Other,1,10,2,0,2,0,0,household_income_level__30000_59999
6717,21029,25,0,UG,FT,Live with family/parents,TRUE,Local Transit,31.5,1,3,0,3,2,1,household_income_level__180000_209999
