,HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Dist,PD,SchoolName
4368,42,69,9103,24,F,Y,9,P,S,0,2,1,0,25.6,W,1150,1.572915,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4369,108,69,9103,22,M,Y,S,P,S,1,7,5,1,30.24,9,-1,4.154795999999998,2,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4370,3418,371,9261,23,F,Y,P,P,P,3,6,3,1,14.54,9,-1,16.07141,35,HUMBER COLLEGE - NORTH CAMPUS
4371,48,69,9103,20,M,Y,O,O,S,0,7,2,0,19.38,W,920,1.199355,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4373,506,69,9103,18,M,9,O,O,S,2,4,4,0,18.76,B,745,13.44961,13,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4374,46,69,9103,22,F,Y,O,O,S,0,1,2,0,22.65,W,835,1.297744,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4377,3378,69,9103,20,F,Y,S,P,S,2,4,4,1,14.23,J,740,37.10184,35,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4378,403,69,9103,24,M,Y,O,O,S,3,6,4,0,23.37,9,-1,19.2065,10,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4379,2410,371,384,31,F,Y,P,F,P,2,1,3,0,31.38,9,-1,32.5645,31,UNIVERSITY OF GUELPH AT HUMBER
4380,2226,69,9103,19,M,N,O,O,S,2,5,3,0,21.21,9,-1,34.476519999999994,29,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4381,3007,371,9261,18,F,Y,S,P,S,2,5,3,1,15.59,B,900,24.22353,34,HUMBER COLLEGE - NORTH CAMPUS
4382,3640,3851,9309,17,F,Y,G,P,S,2,7,3,1,11.56,B,1200,12.49947,36,SHERIDAN COLLEGE - MISSISSAUGA
4384,3360,371,384,20,F,Y,S,P,S,4,5,5,0,39.03,D,800,16.717299999999998,35,UNIVERSITY OF GUELPH AT HUMBER
4385,478,69,9103,25,M,Y,P,P,S,1,2,2,0,44.85,B,1100,17.808049999999994,12,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4386,435,69,9103,35,F,Y,O,O,S,1,6,3,0,16.24,P,740,14.653189999999999,11,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4387,3622,69,9103,20,F,Y,S,P,S,3,7,4,0,18.85,B,600,18.75543,36,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4390,2209,371,9261,24,F,Y,G,P,S,4,5,3,0,29.35,D,800,24.96079,29,HUMBER COLLEGE - NORTH CAMPUS
4391,2058,69,9103,20,F,Y,P,P,S,4,7,4,0,18.01,B,1100,25.04659,33,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4392,230,69,9103,21,F,Y,O,O,S,3,7,4,2,24.06,B,800,13.03885,5,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4393,2611,69,9103,35,F,Y,P,P,P,2,6,2,2,17.95,9,-1,45.77143,27,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4394,215,69,9103,53,F,Y,O,O,P,3,7,2,0,6.02,9,-1,8.631998,4,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4396,3387,69,9103,30,F,Y,O,O,S,2,3,3,0,18.8,9,-1,34.121430000000004,35,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4397,351,371,384,21,M,Y,G,P,S,2,5,3,1,24.16,9,-1,7.053584,8,UNIVERSITY OF GUELPH AT HUMBER
4398,264,69,9103,23,M,9,S,P,S,0,4,4,0,28.71,B,815,6.774108999999999,6,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
