,HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Dist,PD,SchoolName
5774,3369,391,9092,18,M,N,O,O,S,2,7,4,0,26.06,B,645,29.308580000000006,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
5775,398,391,9092,34,M,N,O,O,S,0,4,2,0,16.15,W,1415,1.7730339999999998,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
5776,179,391,9092,26,F,N,O,O,S,1,2,4,0,73.22,B,1400,9.040963,3,YORK UNIVERSITY - YORK (KEELE & STEELES)
5777,391,391,9092,30,M,N,P,H,S,0,2,1,0,32.52,9,-1,0.0,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
5778,3417,391,9092,18,F,Y,S,P,S,2,4,4,1,31.82,B,900,26.449959999999997,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
5779,46,391,E0471,24,F,Y,O,O,S,1,4,2,0,20.39,D,1000,17.012150000000002,1,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
5780,382,391,9092,22,F,N,O,O,P,3,3,11,0,25.06,9,-1,9.009049,9,YORK UNIVERSITY - YORK (KEELE & STEELES)
5781,401,391,9092,18,M,Y,O,O,S,1,2,2,0,12.21,B,900,4.081137,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
5782,606,391,9092,25,F,Y,G,P,S,3,5,4,0,10.23,9,-1,20.13371,16,YORK UNIVERSITY - YORK (KEELE & STEELES)
5783,2013,391,9092,23,M,Y,P,F,P,2,5,4,0,26.83,D,730,20.07709,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
5784,597,391,9092,23,M,Y,M,P,S,2,2,3,0,22.11,B,800,19.49297,16,YORK UNIVERSITY - YORK (KEELE & STEELES)
5785,600,391,9092,20,M,N,S,P,S,1,2,4,0,30.62,9,-1,18.81172,16,YORK UNIVERSITY - YORK (KEELE & STEELES)
5786,444,391,9092,21,M,Y,O,O,S,2,7,3,0,43.82,D,1030,7.514664000000002,11,YORK UNIVERSITY - YORK (KEELE & STEELES)
5787,3486,391,9092,19,F,Y,O,O,S,2,5,4,1,41.24,9,-1,28.4278,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
5788,113,391,9092,24,F,Y,P,P,P,2,6,3,1,34.39,9,-1,16.22673,2,YORK UNIVERSITY - YORK (KEELE & STEELES)
5789,448,391,9092,19,F,N,O,O,S,0,1,2,0,17.99,B,1800,8.135732,11,YORK UNIVERSITY - YORK (KEELE & STEELES)
5790,2209,391,S118,17,M,Y,P,P,S,4,6,3,1,31.94,D,1100,13.48286,29,SCHULICH SCHOOL OF BUSINESS
5791,2128,391,9092,18,F,N,S,P,S,2,6,3,1,21.9,B,830,6.966191,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
5792,618,391,9092,18,F,Y,O,O,S,1,7,3,1,44.65,9,-1,24.68989,16,YORK UNIVERSITY - YORK (KEELE & STEELES)
5793,2020,391,9092,24,M,Y,O,O,S,4,5,4,1,27.92,D,1230,15.86457,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
5795,135,391,E0471,18,F,N,O,O,S,2,6,3,1,11.13,B,1030,9.843972,3,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
5796,3337,391,9092,21,F,Y,O,O,S,1,4,3,2,30.46,B,800,16.97054,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
5797,390,391,9092,22,M,Y,O,O,S,0,1,2,1,30.21,W,900,3.4857940000000003,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
5798,1039,391,9092,23,F,Y,S,P,S,2,5,3,0,69.54,9,-1,37.2278,20,YORK UNIVERSITY - YORK (KEELE & STEELES)
5799,431,391,9092,20,M,9,O,O,S,3,2,6,1,31.63,B,1200,4.911207,11,YORK UNIVERSITY - YORK (KEELE & STEELES)
5801,3367,391,9092,69,F,Y,O,O,P,1,5,2,0,5.91,9,-1,24.92761,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
5802,528,391,C405,18,M,N,S,P,S,0,2,5,0,20.17,B,800,23.02389,13,SENECA COLLEGE - YORK UNIVERSITY CAMPUS
5803,603,38,9031,20,F,Y,G,P,S,3,5,3,0,15.09,B,830,21.386979999999998,16,RYERSON POLYTECHNIC UNIVERSITY
5804,600,25,9243,18,M,Y,O,O,S,2,4,3,1,7.45,B,1200,25.21527,16,GEORGE BROWN COLLEGE - HOSPITALITY & TOURISM
5807,3431,38,9031,18,F,Y,O,O,S,2,6,3,2,12.2,J,625,40.27706,35,RYERSON POLYTECHNIC UNIVERSITY
5810,5067,5198,9011,21,M,Y,S,P,S,2,4,4,1,53.04,P,1430,8.586148999999999,43,MCMASTER UNIVERSITY
5811,2433,38,9031,18,F,N,O,O,S,2,3,4,0,22.95,9,-1,32.02698,31,RYERSON POLYTECHNIC UNIVERSITY
5812,619,38,9031,18,M,Y,S,P,S,2,2,5,1,35.41,B,630,25.47405,16,RYERSON POLYTECHNIC UNIVERSITY
5813,487,25,9244,37,F,Y,P,P,P,1,7,2,3,35.59,9,-1,18.66001,13,GEORGE BROWN COLLEGE - ST JAMES
5814,4120,25,9243,20,F,Y,M,P,S,1,6,4,2,31.79,B,810,47.90889,38,GEORGE BROWN COLLEGE - HOSPITALITY & TOURISM
5815,506,38,9031,22,M,Y,P,F,P,2,4,4,1,21.91,9,-1,12.77418,13,RYERSON POLYTECHNIC UNIVERSITY
5816,5121,5198,9011,20,M,Y,S,P,P,2,1,3,0,33.46,9,-1,6.680713000000001,46,MCMASTER UNIVERSITY
5817,5166,5198,9011,21,F,Y,P,P,S,2,7,3,0,49.57,B,840,2.120519,46,MCMASTER UNIVERSITY
5818,42,25,9243,30,F,Y,P,F,P,0,4,1,0,23.11,W,1715,2.702876,1,GEORGE BROWN COLLEGE - HOSPITALITY & TOURISM
5819,283,38,9031,25,F,Y,P,P,P,0,4,2,0,13.56,9,-1,5.394346,6,RYERSON POLYTECHNIC UNIVERSITY
5821,3418,38,9031,18,F,Y,O,O,S,2,5,5,1,8.49,J,715,36.24153,35,RYERSON POLYTECHNIC UNIVERSITY
5823,271,25,9244,20,F,Y,S,P,S,1,4,2,0,12.24,9,-1,2.179886,6,GEORGE BROWN COLLEGE - ST JAMES
5824,436,25,9244,29,F,Y,G,F,P,2,4,2,0,31.58,9,-1,16.01815,11,GEORGE BROWN COLLEGE - ST JAMES
5825,14,25,9244,21,F,Y,S,P,S,0,1,2,0,7.46,B,1045,1.2470530000000002,1,GEORGE BROWN COLLEGE - ST JAMES
5826,4042,25,9244,42,F,Y,S,P,S,2,5,2,0,14.46,9,-1,42.59871,39,GEORGE BROWN COLLEGE - ST JAMES
5827,114,25,9244,46,F,N,P,F,P,0,4,1,0,37.11,9,-1,7.1098690000000015,2,GEORGE BROWN COLLEGE - ST JAMES
5828,2222,2667,9290,17,F,Y,O,O,S,2,3,2,1,22.96,B,800,6.064933000000001,29,SENECA COLLEGE - KING
5829,452,38,9031,20,F,N,O,O,S,1,4,3,1,24.37,9,-1,12.20623,11,RYERSON POLYTECHNIC UNIVERSITY
5830,3606,25,9244,26,M,Y,O,O,S,2,7,3,0,65.52,D,800,29.050929999999997,36,GEORGE BROWN COLLEGE - ST JAMES
5831,2213,25,9244,30,F,N,O,O,S,4,6,5,4,19.3,B,800,27.12306,29,GEORGE BROWN COLLEGE - ST JAMES
5832,370,25,9244,21,F,Y,S,P,S,2,4,3,1,5.88,D,745,25.07065,9,GEORGE BROWN COLLEGE - ST JAMES
5833,189,38,9031,25,F,Y,G,F,P,0,3,2,0,26.45,9,-1,4.926836,4,RYERSON POLYTECHNIC UNIVERSITY
5834,3674,25,9244,20,M,Y,O,O,S,1,4,4,1,57.05,B,800,21.351879999999998,36,GEORGE BROWN COLLEGE - ST JAMES
5835,4154,5198,9011,19,F,9,O,O,S,2,7,3,0,10.78,W,800,45.90602,37,MCMASTER UNIVERSITY
5836,535,38,9031,56,M,Y,S,J,P,1,5,4,0,4.71,B,1705,12.25557,13,RYERSON POLYTECHNIC UNIVERSITY
5837,2440,5198,9011,18,F,Y,O,O,S,2,6,3,1,7.44,9,-1,101.6535,31,MCMASTER UNIVERSITY
5838,25,38,9031,22,M,Y,O,O,S,1,5,2,0,20.81,W,845,1.52949,1,RYERSON POLYTECHNIC UNIVERSITY
5839,185,25,9243,58,F,Y,P,F,P,1,5,1,0,16.36,B,1630,7.217739999999999,4,GEORGE BROWN COLLEGE - HOSPITALITY & TOURISM
5840,2053,38,9031,37,F,Y,S,P,P,2,5,2,3,18.99,9,-1,31.30935,33,RYERSON POLYTECHNIC UNIVERSITY
5841,3335,5198,9011,24,F,Y,O,O,S,1,3,4,1,42.64,9,-1,69.3296,35,MCMASTER UNIVERSITY
5842,2141,38,9031,22,F,Y,O,O,S,3,6,4,0,45.74,B,1010,18.20788,33,RYERSON POLYTECHNIC UNIVERSITY
5843,2022,25,9244,23,F,Y,G,P,S,3,4,4,0,29.01,9,-1,32.3126,33,GEORGE BROWN COLLEGE - ST JAMES
5844,420,38,9031,37,M,Y,G,F,P,1,4,2,2,95.15,B,1900,13.604470000000001,10,RYERSON POLYTECHNIC UNIVERSITY
5845,5032,5198,9011,18,F,Y,O,O,S,3,6,3,1,66.7,D,930,19.00848,45,MCMASTER UNIVERSITY
5846,2100,2667,9290,20,F,Y,S,P,S,3,4,3,1,30.62,P,945,14.444339999999999,33,SENECA COLLEGE - KING
5847,3429,38,9031,18,F,Y,O,O,S,2,4,4,0,8.88,G,730,37.83978,35,RYERSON POLYTECHNIC UNIVERSITY
5848,457,38,9031,23,F,Y,O,O,S,2,2,3,1,19.17,B,815,14.752720000000002,11,RYERSON POLYTECHNIC UNIVERSITY
5849,2616,2667,9290,20,M,Y,S,P,S,1,4,3,0,37.67,P,630,12.6273,27,SENECA COLLEGE - KING
5850,2616,2667,9290,18,F,N,G,F,P,1,4,3,0,37.67,B,1600,12.6273,27,SENECA COLLEGE - KING
5852,108,2667,9290,27,M,N,O,O,S,0,4,4,0,27.72,P,700,36.57564,2,SENECA COLLEGE - KING
5853,3323,38,9031,19,M,Y,O,O,S,3,6,4,0,8.42,D,600,37.46761,35,RYERSON POLYTECHNIC UNIVERSITY
5854,431,38,9031,20,F,Y,O,O,S,1,2,3,0,14.76,B,1340,16.44023,11,RYERSON POLYTECHNIC UNIVERSITY
5855,5106,5119,9270,20,M,Y,O,O,S,2,3,3,0,21.77,W,745,1.774552,45,MOHAWK COLLEGE - STONEY CREEK
5856,3511,38,9031,24,M,Y,P,F,P,2,5,4,1,68.23,9,-1,30.790059999999997,35,RYERSON POLYTECHNIC UNIVERSITY
5857,120,25,9244,34,F,N,P,F,P,0,4,2,0,24.69,9,-1,9.571772,2,GEORGE BROWN COLLEGE - ST JAMES
5858,3664,38,9031,30,F,N,G,P,P,2,7,4,0,33.64,P,1400,27.040830000000003,36,RYERSON POLYTECHNIC UNIVERSITY
5859,342,38,9031,20,M,N,O,O,S,2,3,6,0,35.64,B,700,13.85725,8,RYERSON POLYTECHNIC UNIVERSITY
5860,2672,25,9244,21,M,Y,O,O,S,1,7,2,0,55.92,9,-1,36.86743,32,GEORGE BROWN COLLEGE - ST JAMES
5862,545,25,9244,24,F,Y,S,F,S,2,5,5,0,10.6,9,-1,14.1719,14,GEORGE BROWN COLLEGE - ST JAMES
5864,3686,5198,9011,21,F,N,O,O,S,2,4,4,0,26.75,9,-1,47.52929,36,MCMASTER UNIVERSITY
5865,3667,5198,9011,21,F,Y,O,O,S,3,4,4,2,61.03,9,-1,47.84493,36,MCMASTER UNIVERSITY
5866,223,38,9031,18,M,N,O,O,S,1,4,3,1,48.72,B,800,9.042832,5,RYERSON POLYTECHNIC UNIVERSITY
5867,424,38,9031,19,M,N,O,O,S,2,3,3,2,62.73,9,-1,11.67247,11,RYERSON POLYTECHNIC UNIVERSITY
5868,389,38,9031,26,M,Y,O,O,S,1,2,2,0,33.12,9,-1,20.19046,10,RYERSON POLYTECHNIC UNIVERSITY
5870,350,391,9092,26,F,Y,S,P,S,1,2,2,0,30.14,9,-1,12.310789999999999,8,YORK UNIVERSITY - YORK (KEELE & STEELES)
5871,2028,391,9092,31,M,Y,O,O,S,3,7,4,1,30.75,9,-1,12.21049,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
5872,2041,391,9092,23,M,Y,O,O,S,4,6,3,0,17.13,D,800,8.861889999999997,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
5873,587,391,9092,23,M,Y,O,O,S,1,3,3,0,12.87,B,1100,15.771339999999999,16,YORK UNIVERSITY - YORK (KEELE & STEELES)
5874,90,25,9244,23,F,Y,P,F,P,0,6,2,0,28.67,9,-1,3.4932510000000003,1,GEORGE BROWN COLLEGE - ST JAMES
5875,14,25,9244,24,M,Y,O,O,S,1,2,2,0,22.86,W,1015,1.2470530000000002,1,GEORGE BROWN COLLEGE - ST JAMES
5876,424,25,9244,20,F,N,O,O,S,2,4,4,0,16.97,B,1210,13.05358,11,GEORGE BROWN COLLEGE - ST JAMES
5877,2053,38,9031,23,F,Y,G,F,P,3,5,4,0,16.92,D,1700,31.30935,33,RYERSON POLYTECHNIC UNIVERSITY
5878,77,38,9031,23,M,Y,O,O,S,1,2,4,0,11.75,W,1400,2.6893130000000003,1,RYERSON POLYTECHNIC UNIVERSITY
5879,288,25,9244,20,F,N,O,O,S,0,7,1,0,27.58,9,-1,12.45658,7,GEORGE BROWN COLLEGE - ST JAMES
5880,223,25,9244,21,F,N,O,O,S,0,3,2,2,57.01,B,700,9.529053,5,GEORGE BROWN COLLEGE - ST JAMES
5882,119,25,9244,19,F,Y,O,O,S,3,6,3,0,38.01,B,1105,8.663478999999999,2,GEORGE BROWN COLLEGE - ST JAMES
5883,2412,2667,9290,22,F,Y,S,P,S,3,3,4,0,12.45,D,900,25.5821,31,SENECA COLLEGE - KING
5884,5094,5198,9011,18,F,Y,O,O,S,3,3,4,1,76.92,P,830,8.975591999999997,43,MCMASTER UNIVERSITY
5885,538,38,C201,21,F,Y,P,P,S,1,2,4,0,16.98,9,-1,10.02121,13,GEORGE BROWN COLLEGE - RYERSON CAMPUS
5886,3361,25,9244,20,F,Y,S,P,S,2,3,3,0,43.95,G,610,36.62202,35,GEORGE BROWN COLLEGE - ST JAMES
5887,5175,5198,9011,19,F,Y,O,O,S,0,1,6,0,22.88,B,1000,0.7319249999999999,46,MCMASTER UNIVERSITY
5888,79,25,9244,30,F,N,O,O,S,1,4,2,1,45.72,B,830,3.686243,1,GEORGE BROWN COLLEGE - ST JAMES
5889,5175,5198,9011,19,F,Y,O,O,S,0,2,5,0,26.2,W,815,0.7319249999999999,46,MCMASTER UNIVERSITY
5891,18,25,9244,51,F,Y,P,J,S,0,2,1,0,13.01,C,1200,1.6998429999999998,1,GEORGE BROWN COLLEGE - ST JAMES
5892,3809,38,9031,29,M,Y,S,P,S,2,4,2,0,15.38,G,800,36.1717,36,RYERSON POLYTECHNIC UNIVERSITY
5893,2702,5198,9011,21,M,9,S,P,S,3,7,4,1,65.63,9,-1,106.7794,30,MCMASTER UNIVERSITY
5894,3852,38,9031,18,F,Y,S,P,S,2,7,2,0,47.7,9,-1,24.27405,36,RYERSON POLYTECHNIC UNIVERSITY
5895,5175,5198,9011,21,F,Y,S,P,S,4,4,6,0,48.83,9,-1,0.7319249999999999,46,MCMASTER UNIVERSITY
5896,494,38,9031,21,M,Y,O,O,S,1,4,3,1,11.24,B,800,20.76891,13,RYERSON POLYTECHNIC UNIVERSITY
5897,2569,2667,9290,21,M,Y,O,O,S,2,3,3,1,35.93,D,1030,12.06679,28,SENECA COLLEGE - KING
5898,256,38,9031,22,M,Y,O,O,S,2,4,4,0,28.59,B,800,7.358956999999998,6,RYERSON POLYTECHNIC UNIVERSITY
5899,5205,5198,9011,21,F,Y,S,P,S,2,4,4,0,55.78,B,1500,3.873886,42,MCMASTER UNIVERSITY
5900,2202,5198,9011,23,M,Y,G,P,S,2,5,3,1,25.73,B,615,84.59063,29,MCMASTER UNIVERSITY
5902,53,38,9031,24,F,Y,O,O,S,0,1,1,0,40.49,W,750,1.163625,1,RYERSON POLYTECHNIC UNIVERSITY
5903,3420,38,9031,21,M,Y,O,O,S,2,7,4,0,11.91,G,1545,34.745760000000004,35,RYERSON POLYTECHNIC UNIVERSITY
5904,3420,38,9031,19,M,Y,O,O,S,2,7,4,0,11.91,9,-1,34.745760000000004,35,RYERSON POLYTECHNIC UNIVERSITY
5905,538,25,9244,29,M,Y,S,P,S,1,3,4,1,93.83,9,-1,9.82191,13,GEORGE BROWN COLLEGE - ST JAMES
5906,5166,5198,9011,26,F,9,G,P,S,0,7,2,0,51.36,9,-1,2.120519,46,MCMASTER UNIVERSITY
5907,3678,25,9243,22,M,N,O,O,S,2,4,4,0,13.99,G,635,27.51871,36,GEORGE BROWN COLLEGE - HOSPITALITY & TOURISM
5908,532,25,9244,27,F,9,O,O,P,2,2,4,0,15.71,B,905,14.45475,13,GEORGE BROWN COLLEGE - ST JAMES
5909,2419,5198,9011,19,M,Y,O,O,S,2,6,3,1,19.37,9,-1,96.23929,31,MCMASTER UNIVERSITY
5910,2058,38,9031,18,M,N,O,O,S,3,3,4,0,19.7,9,-1,26.563129999999997,33,RYERSON POLYTECHNIC UNIVERSITY
5911,212,25,9244,60,F,Y,P,P,P,0,2,1,0,13.76,B,1700,7.552340999999998,4,GEORGE BROWN COLLEGE - ST JAMES
5913,340,38,9031,21,F,N,O,O,S,2,6,4,0,66.08,9,-1,14.630989999999999,8,RYERSON POLYTECHNIC UNIVERSITY
5914,3448,25,9244,20,F,Y,S,P,S,2,7,3,2,36.52,B,1000,34.30503,35,GEORGE BROWN COLLEGE - ST JAMES
5916,185,25,9244,19,M,N,O,O,S,1,6,3,0,37.52,B,1200,7.217739999999999,4,GEORGE BROWN COLLEGE - ST JAMES
5917,441,38,9031,26,F,Y,O,O,S,1,2,2,0,14.33,B,1430,12.02725,11,RYERSON POLYTECHNIC UNIVERSITY
5918,3649,5198,9011,19,M,Y,O,O,S,2,6,3,1,11.5,C,1005,49.48429,36,MCMASTER UNIVERSITY
5919,40,38,9031,23,F,Y,O,O,S,1,5,3,0,35.33,9,-1,0.7708689999999999,1,RYERSON POLYTECHNIC UNIVERSITY
5920,2101,2667,9290,19,M,Y,S,P,S,2,5,3,2,30.11,B,800,13.1771,33,SENECA COLLEGE - KING
5921,143,38,9031,21,F,N,O,O,S,1,7,3,1,53.73,B,730,11.24198,3,RYERSON POLYTECHNIC UNIVERSITY
5922,538,25,9244,25,F,N,S,P,S,1,7,4,1,41.67,9,-1,9.82191,13,GEORGE BROWN COLLEGE - ST JAMES
5923,4039,5198,9011,20,M,Y,S,P,S,3,6,3,1,9.79,D,900,29.90917,39,MCMASTER UNIVERSITY
5924,154,25,9244,19,F,N,O,O,S,2,7,3,1,32.21,B,630,14.25214,3,GEORGE BROWN COLLEGE - ST JAMES
5925,154,25,9244,17,M,Y,O,O,S,2,7,3,1,32.21,B,700,14.25214,3,GEORGE BROWN COLLEGE - ST JAMES
5926,2130,38,9031,21,M,Y,P,P,S,3,3,4,2,16.26,9,-1,22.25238,33,RYERSON POLYTECHNIC UNIVERSITY
5927,2553,38,9031,22,M,Y,P,P,P,3,6,4,0,26.99,D,1745,38.87307,28,RYERSON POLYTECHNIC UNIVERSITY
5928,239,25,9244,20,M,Y,S,P,S,3,4,3,2,19.02,B,915,14.23649,5,GEORGE BROWN COLLEGE - ST JAMES
5930,301,5198,9011,20,M,Y,S,P,S,2,3,4,0,27.26,9,-1,56.40948,8,MCMASTER UNIVERSITY
5931,546,25,9244,19,F,Y,S,P,S,2,1,3,1,25.26,B,1100,13.291770000000001,14,GEORGE BROWN COLLEGE - ST JAMES
5932,189,25,9244,19,M,N,O,O,S,2,6,3,0,26.39,9,-1,6.307941999999999,4,GEORGE BROWN COLLEGE - ST JAMES
5934,72,38,9031,71,F,Y,O,O,P,1,3,1,0,4.8,B,1045,3.521428,1,RYERSON POLYTECHNIC UNIVERSITY
5935,2218,391,9092,19,F,Y,O,O,S,3,6,5,1,21.53,B,1000,18.00047,29,YORK UNIVERSITY - YORK (KEELE & STEELES)
5936,2101,391,9092,33,F,Y,O,O,S,2,6,2,2,9.12,D,950,10.40348,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
5938,2418,391,9092,21,M,Y,O,O,S,2,2,3,0,25.06,9,-1,24.31338,31,YORK UNIVERSITY - YORK (KEELE & STEELES)
5940,522,566,9102,19,F,N,O,O,S,1,2,5,2,24.01,9,-1,8.597216999999999,13,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5941,531,566,9102,21,F,N,O,O,S,0,7,5,1,27.57,9,-1,9.248096,13,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5942,2447,566,9102,21,F,Y,O,O,S,3,3,4,0,22.13,9,-1,12.23993,31,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5943,411,52,870,19,M,Y,S,P,S,1,3,3,0,14.86,B,1300,17.171580000000002,10,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5944,2428,566,9102,19,F,Y,O,O,S,2,4,3,1,129.21,P,850,10.10833,31,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5945,1028,566,9102,21,F,Y,O,O,S,1,5,2,0,23.23,B,1200,14.99974,20,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5946,551,566,9102,21,M,Y,O,O,S,1,5,4,0,5.7,B,800,6.11865,14,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5947,490,566,9102,24,M,N,O,O,S,1,4,3,0,43.85,9,-1,6.413879,13,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5948,2130,52,870,20,M,Y,O,O,S,3,7,6,0,18.83,B,730,22.729,33,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5949,471,566,9102,18,M,Y,O,O,S,1,3,2,0,14.62,9,-1,18.00239,12,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5950,491,566,9102,26,M,Y,P,P,S,1,2,2,0,25.61,B,1200,5.9773580000000015,13,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5952,2779,566,691,18,M,Y,O,O,S,1,3,2,0,21.41,9,-1,51.4772,26,SCARBOROUGH ADP (UTSC)
5953,4007,5188,735,21,M,Y,O,O,S,3,4,4,0,53.73,D,645,27.5132,39,MOHAWK COLLEGE - WENTWORTH CAMPUS
5954,620,566,9102,22,F,Y,O,O,S,2,5,3,0,13.58,B,1020,3.5037839999999996,16,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5955,621,52,870,18,M,Y,S,P,S,1,3,3,0,12.63,P,600,26.02439,16,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5956,41,52,870,28,M,Y,O,O,P,0,4,2,0,29.74,C,1800,1.893213,1,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5957,2057,52,870,20,F,Y,S,P,S,4,7,6,0,28.39,9,-1,27.886650000000003,33,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5958,4110,566,9102,19,F,Y,G,P,S,2,2,3,1,38.27,9,-1,65.08929,38,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5959,1082,566,9102,21,F,N,O,O,S,1,3,5,0,31.95,P,740,12.683539999999999,21,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5960,560,566,691,20,M,N,O,O,S,1,3,5,0,56.47,B,1000,1.7609670000000002,15,SCARBOROUGH ADP (UTSC)
5963,3363,52,870,20,M,Y,O,O,S,1,4,3,1,19.6,9,-1,33.10107,35,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5964,581,566,9102,22,F,Y,S,P,S,2,4,5,0,18.93,B,900,8.315700000000001,16,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5965,2432,566,9102,19,F,Y,S,P,S,2,3,3,0,12.09,D,1135,13.943270000000002,31,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5966,2014,52,870,18,F,Y,G,P,S,3,6,3,2,32.11,9,-1,34.5478,33,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5967,182,566,9102,19,M,Y,O,O,S,1,4,3,0,46.04,B,935,23.11528,4,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5970,515,566,9102,20,F,Y,O,O,S,0,1,3,2,48.45,B,1630,4.722613,13,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5971,166,52,870,20,M,N,O,O,S,1,4,4,0,51.33,9,-1,6.807613000000001,3,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5973,617,566,9102,18,F,N,O,O,S,1,4,5,0,38.84,B,900,7.367425999999999,16,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5975,336,52,870,22,F,Y,O,O,S,3,4,2,0,14.59,9,-1,18.72992,8,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5976,196,566,9102,17,M,N,O,O,S,1,6,3,1,22.28,B,1000,20.49636,4,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5977,2428,52,870,18,M,Y,O,O,S,2,3,5,0,138.22,B,600,28.74969,31,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5978,223,52,870,19,F,Y,O,O,S,2,7,5,0,26.09,B,700,9.714855,5,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5979,1088,566,9102,21,M,Y,P,P,S,1,3,3,0,16.41,9,-1,13.147229999999999,21,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5980,2427,566,9102,22,F,Y,P,P,S,1,4,4,1,36.65,B,1150,11.50853,31,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5981,448,52,870,25,F,N,O,O,S,1,4,3,0,18.18,B,910,15.08365,11,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5982,1125,566,691,20,F,Y,G,P,S,3,7,3,0,15.05,9,-1,26.110670000000002,22,SCARBOROUGH ADP (UTSC)
5987,545,566,9102,19,F,N,O,O,S,1,5,3,1,6.91,9,-1,8.828965,14,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5988,602,566,9102,25,M,Y,S,P,S,2,2,4,0,20.51,9,-1,9.832230000000001,16,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5989,596,566,9102,20,F,Y,O,O,S,1,5,3,1,3.58,B,900,10.90479,16,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5990,566,566,9102,18,F,N,O,O,S,0,7,5,1,50.47,W,1200,0.0,15,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5994,195,52,870,19,F,Y,G,P,S,2,6,3,0,4.58,9,-1,10.52414,4,RYERSON SCHOOL OF BUSINESS MANAGEMENT
5997,494,566,9102,20,M,Y,O,O,S,0,2,3,0,21.16,B,900,3.660727000000001,13,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5998,574,566,9102,21,F,Y,O,O,S,3,7,4,0,16.74,D,800,2.428631,15,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
5999,592,566,9102,45,M,Y,P,F,P,1,4,2,1,15.88,9,-1,12.2763,16,UNIVERSITY OF TORONTO -  SCARBOROUGH CAMPUS
6000,134,52,870,51,F,Y,G,F,P,2,7,3,1,16.24,W,1730,14.377320000000001,3,RYERSON SCHOOL OF BUSINESS MANAGEMENT
6001,3694,391,9092,19,F,Y,O,O,S,2,7,3,1,33.51,B,1300,29.9816,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
