Code,Name
1400,ZEHAVA SCHOOL OF ESTHETICS & MASSAGE THERAPY  --
1401,ZION HEIGHTS ELEMENTARY SCHOOL  --
1402,ZION HEIGHTS SECONDARY SCHOOL  --
1403,ECOLE  ELEMENTAIRE MATHIEU DA COSTA 
1404,WILLIAM LYON MACKENZIE COLLEGIATE INSTITUTE  --
1405,COMPUTER TECHNOLOGY INSTITUTE - NORTH YORK  --
1406,TORONTO SCHOOL OF BUSINESS - NORTH YORK (YONGE & H  --
1407,ALTECH INVESTIGATION TRAINING INSTITUTE  --
1408,METROPOLITAN PREPARATORY SCHOOL  --
1409,KAVEH ACADEMY  --
1410,CRESCENT SCHOOL  --
1411,KENT SENIOR PUBLIC SCHOOL  --
142,FAMILY & CHILDREN'S SERV-MADISON COMM LEARNING CTR  --
1421,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL  --
1424,CLAIREVILLE JUNIOR SCHOOL - ETOBICOKE  --
1425,ELMBANK JUNIOR MIDDLE SCHOOL  --
1426,FATHER HENRY CARR CATHOLIC SECONDARY SCHOOL  --
1427,GEORGE HULL CENTRE  --
1428,GREENHOLME ELEMENTARY SCHOOL  --
1430,HIGHFIELD JUNIOR SCHOOL  --
1431,JOHN D PARKER JUNIOR SCHOOL  --
1432,MONSIGNOR JOHN CORRIGAN ELEMENTARY SCHOOL  --
1433,NORTH ALBION COLLEGIATE INSTITUTE  --
1434,RIVERCREST JUNIOR SCHOOL  --
1435,ST ANDREW SEPARATE SCHOOL  --
1437,ST BENEDICT SEPARATE SCHOOL  --
1438,ST DOROTHY CATHOLIC SCHOOL  --
1439,ST JOHN VIANNEY CATHOLIC SCHOOL  --
144,FATHER PATRICK H FOGARTY  --
1440,ST STEPHEN SEPARATE SCHOOL  --
1441,THE ELMS JUNIOR & MIDDLE SCHOOL  --
1442,THISTLETOWN COLLEGIATE INSTITUTE  --
1443,THISTLETOWN REGIONAL CENTRE - CHILDREN & ADOLESCEN  --
1444,THISTLETOWN REGIONAL CENTRE  --
1448,VALTA DAY TREATMENT PROGRAM  --
1449,WEST HUMBER JUNIOR & MIDDLE SCHOOL  --
145,FERNIE HOUSE  --
147,FESSENDEN SCHOOL  --
148,FIVE COUNTIES CHILDREN CENTRE  --
149,FLETCHER'S MEADOW SECONDARY SCHOOL  --
15,NANTYR SHORES SECONDARY SCHOOL  --
150,FLORENCE MEARES PUBLIC SCHOOL  --
1502,ACADEMY OF LEARNING - SCARBOROUGH (ELLESMERE)  --
1509,ALEXANDER STIRLING PUBLIC SCHOOL  --
151,FOLEY CATHOLIC SCHOOL
1510,ALFA SCHOOL OF PRIVATE INVESTIGATION  --
1512,ANSON PARK PUBLIC SCHOOL  --
1513,BANTING & BEST PUBLIC SCHOOL  --
1514,BELLMERE JUNIOR PUBLIC SCHOOL  --
1515,BENDALE BUSINESS & TECHNICAL INSTITUTE  --
1516,BENDALE JUNIOR PUBLIC SCHOOL  --
1517,BIRCH CLIFF HEIGHTS PUBLIC SCHOOL  --
1518,BIRCH CLIFF PUBLIC SCHOOL  --
1519,BIRCHMOUNT PARK COLLEGIATE INSTITUTE  --
152,BUSINESS SKILLS LEARNING CENTRE - HAMILTON  --
1520,BLANTYRE PUBLIC SCHOOL  --
1521,BLISS CARMAN SENIOR PUBLIC SCHOOL  --
1522,BUCHANAN PUBLIC SCHOOL  --
1524,C J HEALTH CARE SUPPORT COLLEGE  --
1525,CANADIAN AESTHETIC ACADEMY INC - SCARBOROUGH  --
1526,CANADIAN BUSINESS COLLEGE - SCARBOROUGH  --
153,ST JOHN SOUTH ADULT LEARNING CENTRE
1530,CAREER SCHOOL OF FLORAL DESIGN - SCARBOROUGH  --
1533,CEDAR DRIVE JUNIOR PUBLIC SCHOOL  --
1534,CEDARBRAE COLLEGIATE INSTITUTE  --
