,HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Dist,PD
2165,412,391,9092,19,F,Y,O,O,S,2,3,5,0,50.91,B,945,3.219461,10
2166,411,391,C405,26,F,N,S,P,S,0,1,2,0,36.78,B,1030,5.561901,10
2167,3418,391,9092,18,F,N,S,P,S,3,4,7,0,33.84,9,-1,25.57921,35
2168,3430,391,9092,21,M,Y,O,O,S,2,4,3,0,24.15,9,-1,31.70034,35
2169,2020,391,9092,19,F,Y,O,O,S,4,5,4,1,27.92,D,1030,15.86457,33
2171,2123,391,9092,67,F,Y,O,O,P,1,5,2,0,13.56,9,-1,5.074627,33
2174,3337,391,9092,26,F,N,O,O,S,1,4,4,0,18.59,9,-1,16.97054,35
2175,2127,391,9092,22,F,Y,S,P,S,4,6,4,0,45.65,9,-1,7.059514,33
2176,2353,391,9092,20,F,Y,S,P,S,3,2,5,0,106.7,9,-1,8.428251,31
2177,600,391,9092,23,F,Y,S,P,S,2,2,3,0,14.74,B,1000,18.81172,16
2179,3448,391,9092,19,F,Y,S,P,S,3,5,6,1,19.27,B,800,19.31239,35
2180,3448,391,9092,18,F,Y,S,P,S,3,5,6,1,19.27,9,-1,19.31239,35
2181,102,391,E0471,30,M,Y,O,O,S,0,1,1,0,80.46,B,1100,16.33827,2
2182,3355,391,9092,42,M,Y,O,O,S,1,3,2,3,43.85,B,715,22.40864,35
2183,183,391,9092,23,F,N,P,P,S,2,7,4,0,18.51,9,-1,9.967075000000001,4
2184,2248,391,9092,24,F,Y,O,O,S,1,7,3,0,19.86,9,-1,11.947610000000001,29
2186,2433,391,9092,22,M,Y,S,P,S,4,7,4,0,27.05,D,1530,24.867900000000002,31
2187,2217,391,E0471,25,M,Y,O,O,S,2,4,4,0,20.96,P,900,17.74182,29
2188,3377,391,9092,23,F,Y,O,O,S,2,4,5,0,44.24,9,-1,29.19491,35
2189,427,391,9092,32,M,Y,P,F,S,0,3,2,0,31.99,9,-1,5.7234869999999995,11
2190,2455,391,9092,21,M,Y,O,O,S,2,7,3,0,17.95,B,1140,28.64078,31
2191,2141,391,9092,20,M,Y,O,O,S,3,6,4,1,33.59,P,900,6.551653,33
2192,410,391,9092,20,M,Y,9,P,S,1,2,4,0,35.28,B,950,6.362133000000001,10
2193,398,391,9092,22,M,N,S,P,S,0,2,4,0,59.04,9,-1,1.7730339999999998,10
2195,363,391,9092,20,F,N,O,O,S,1,1,5,1,23.11,B,700,11.19707,9
2196,469,391,9092,19,F,Y,P,P,S,2,7,3,1,29.39,B,715,12.27826,12
2198,404,391,9092,23,F,Y,P,P,S,1,3,3,0,5.12,B,915,8.574691999999999,10
2199,398,391,9092,25,M,N,P,P,S,0,2,1,0,32.52,W,800,1.7730339999999998,10
2200,3369,391,9092,20,F,Y,O,O,S,2,7,4,0,26.06,B,645,29.308580000000003,35
2201,5139,391,S118,26,M,Y,P,F,P,1,4,1,0,81.0,D,1000,78.21373,46
2202,82,391,9092,23,F,N,G,P,S,2,6,3,0,3.76,B,1000,19.46419,1
2203,398,391,9092,26,M,N,O,O,S,0,1,1,0,32.52,C,1400,1.7730339999999998,10
2204,3469,391,9092,19,M,N,O,O,S,1,3,3,3,65.01,B,1130,21.9531,35
2205,431,391,9092,24,M,Y,P,P,S,2,4,3,1,22.8,B,715,4.911207,11
2206,618,391,9092,25,M,Y,S,P,S,3,7,5,0,44.78,D,910,24.68989,16
2207,228,391,9092,27,M,Y,G,F,P,1,7,7,3,16.01,9,-1,11.078959999999999,5
2208,410,391,9092,34,F,Y,S,F,P,0,2,1,0,63.21,9,-1,6.362133000000001,10
2210,2026,391,9092,19,M,Y,S,P,S,2,4,3,1,35.52,D,1200,10.96251,33
2211,457,391,9092,23,M,N,O,O,S,1,4,3,0,26.56,B,1340,9.24994,11
2213,592,391,E0471,18,F,Y,G,P,S,1,3,4,1,30.93,9,-1,16.730790000000002,16
2214,400,391,E0471,19,M,Y,O,O,S,1,2,3,1,25.18,B,1030,3.9717249999999997,10
2215,3380,391,C405,23,F,Y,S,P,S,2,4,3,2,53.22,B,830,25.93112,35
2216,443,391,9092,26,M,Y,P,F,P,1,4,2,0,17.31,9,-1,7.787525,11
2217,2433,391,9092,28,M,Y,P,F,P,2,4,4,0,28.41,9,-1,24.867900000000002,31
2218,385,391,9092,26,M,Y,S,F,P,2,7,5,0,10.64,9,-1,7.559203,10
2219,444,391,9092,22,M,Y,O,O,S,2,7,3,0,43.82,B,1030,7.514664000000001,11
2220,2666,391,9092,19,F,Y,S,P,S,3,5,3,1,10.75,D,1005,26.7602,32
2221,3628,391,9092,33,F,Y,P,F,P,2,7,5,0,34.68,9,-1,16.34328,36
2223,370,391,9092,23,F,Y,S,P,S,1,7,3,0,4.75,B,800,13.25609,9
2225,412,391,9092,18,F,N,G,P,S,1,3,4,0,17.3,9,-1,3.219461,10
2226,3484,391,9092,19,F,Y,O,O,S,5,4,4,0,24.54,9,-1,27.81763,35
2227,433,391,C405,30,M,Y,O,O,P,1,4,4,0,11.86,D,1830,6.124209,11
2228,2427,391,9092,20,F,Y,O,O,S,2,7,3,0,9.56,B,900,20.69352,31
2229,374,391,9092,22,M,Y,S,P,P,2,3,5,1,24.52,9,-1,8.604383,9
2230,3517,391,9092,24,F,Y,O,O,S,2,3,4,1,66.98,B,725,16.540490000000002,35
2231,2383,391,9092,20,M,N,O,O,S,4,5,3,0,28.54,B,800,19.476380000000002,31
2232,403,391,9092,24,F,Y,P,F,P,3,4,4,0,29.63,D,900,6.219446999999999,10
2233,518,391,9092,19,M,N,S,P,S,3,3,4,0,14.31,9,-1,27.60585,13
2234,1097,391,9092,18,M,Y,9,P,S,2,6,4,0,27.41,B,625,44.54914,21
2235,3484,391,9092,20,M,Y,O,O,S,2,4,4,1,23.19,B,845,27.81763,35
