HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime
3370,371,9261,36,F,Y,S,F,P,2,4,2,0,12.47,D,1745
46,69,9103,24,F,Y,O,O,S,0,1,1,0,36.75,W,945
481,69,9103,20,F,N,G,P,S,0,2,2,0,39.84,B,830
507,278,9108,21,F,Y,G,P,S,2,3,5,1,31.24,B,1200
401,371,9261,18,F,N,O,O,S,1,7,3,2,74.7,P,900
1254,1199,E0297,23,M,Y,S,P,P,3,6,5,0,25.15,D,1010
3668,371,9261,21,M,Y,S,P,S,3,6,5,0,50.29,D,700
49,69,9103,19,F,N,O,O,S,1,1,2,0,28.06,W,1015
3810,3851,9309,25,M,Y,O,O,S,3,5,6,2,47.05,D,1500
3651,69,9103,17,M,N,O,O,S,1,6,2,1,20.29,J,750
3431,371,9261,21,F,Y,O,O,S,4,5,4,0,28.46,D,900
187,69,9103,29,F,Y,P,F,P,1,4,2,0,50.0,C,1100
551,278,9108,20,M,N,O,O,S,2,6,4,0,12.55,B,1000
3718,371,384,23,M,Y,G,F,P,1,3,5,0,22.17,B,1000
1181,1199,E0297,20,F,Y,S,P,S,2,6,4,1,44.71,B,1005
586,69,9103,22,M,Y,G,P,S,3,2,3,1,18.32,B,910
2362,69,9103,21,F,N,O,O,S,1,1,2,0,26.67,B,1010
137,69,9103,18,F,Y,O,O,S,2,6,4,0,39.04,B,1100
3649,69,9103,21,F,N,G,P,P,2,6,4,1,61.59,P,600
222,278,9108,21,F,N,O,O,S,1,1,4,3,44.36,B,1000
1243,1199,1556,18,M,Y,S,P,S,2,4,3,0,49.62,B,655
188,69,9103,28,M,Y,O,O,S,0,5,2,1,31.18,B,1100
71,69,9103,18,F,Y,O,O,S,0,7,1,0,4.49,W,1120
232,278,9108,36,F,Y,O,O,P,1,2,2,2,54.28,B,715
46,69,9103,20,F,Y,O,O,S,0,7,2,0,22.65,W,1200
3491,3851,9309,20,F,Y,O,O,S,4,4,5,0,13.72,P,800
363,278,C026,20,M,N,O,O,S,1,2,2,2,51.52,P,730
110,69,9103,18,M,N,O,O,S,0,2,2,0,100.63,B,1030
130,69,9103,33,F,N,P,F,P,1,6,2,0,19.66,B,830
119,69,9103,20,M,Y,O,O,S,2,6,3,2,21.16,B,810
3519,371,9261,22,M,Y,S,P,S,2,4,3,0,33.86,D,1030
51,69,9103,23,M,Y,O,O,S,2,7,2,0,29.02,W,950
450,69,9103,32,F,N,S,P,S,2,4,2,0,19.33,B,1415
46,69,9103,27,M,Y,O,O,S,0,4,2,0,17.57,C,845
172,69,9103,21,F,N,O,O,S,2,6,4,0,34.51,B,715
482,69,9103,19,F,Y,S,P,S,4,6,4,0,20.03,P,750
105,371,9261,28,F,Y,O,O,S,0,4,2,0,74.12,B,745
237,25,9244,23,M,N,O,O,S,3,7,3,1,26.61,B,900
4036,38,9031,21,M,Y,O,O,S,2,2,3,1,25.48,D,630
591,465,550,25,F,Y,P,P,S,1,6,4,2,21.11,B,1000
5191,5198,9011,24,M,Y,S,P,S,2,3,2,0,17.49,D,610
5171,5198,9011,35,M,Y,O,O,S,0,7,2,3,99.95,B,835
1065,25,9244,18,F,Y,S,P,S,3,6,4,0,31.28,G,1100
467,38,9031,19,M,N,O,O,S,2,7,6,0,20.72,B,730
2455,38,9031,18,M,N,S,P,S,2,5,3,2,26.2,P,900
431,25,9244,21,F,N,S,P,S,0,2,4,0,27.03,B,630
1107,38,9031,18,M,Y,S,P,S,2,6,3,1,25.78,G,1125
18,22,2201,17,F,N,O,O,S,1,2,3,1,43.94,P,830
173,38,9031,28,F,Y,S,P,S,0,7,1,0,30.18,C,1000
2620,2667,9290,20,F,N,S,P,S,4,4,4,1,18.83,P,740
2040,38,9031,22,M,Y,S,P,S,3,6,3,1,24.63,B,545
3517,25,9244,22,M,N,O,O,S,3,4,5,1,36.05,B,940
2133,25,9244,34,F,Y,S,J,P,2,3,2,1,32.98,D,1655
265,38,9031,18,M,N,O,O,S,1,3,6,0,33.17,B,800
18,38,9031,51,M,N,O,O,S,0,1,2,3,33.91,B,1800
2442,2667,9290,18,M,N,G,P,S,1,7,3,1,45.13,B,630
523,38,9031,20,M,Y,P,P,S,3,5,3,1,13.55,B,1100
5105,5198,7290,17,M,Y,O,O,S,2,4,1,1,28.43,D,805
258,5198,7290,31,F,Y,O,O,S,2,7,2,0,7.61,D,1445
586,38,9031,26,F,Y,O,O,S,1,4,3,0,35.85,B,1400
48,25,9244,63,F,Y,P,F,P,1,6,2,0,15.11,W,1745
389,131,1111,20,M,N,O,O,S,2,4,4,0,18.73,P,830
5175,5198,9011,22,F,Y,P,P,S,1,4,2,0,21.31,W,1000
450,5198,9011,23,M,Y,O,O,S,1,1,3,1,90.87,D,910
4119,5119,9270,25,M,Y,P,P,S,3,5,4,0,39.82,D,730
3494,25,9244,25,F,Y,O,O,S,2,5,5,0,21.9,J,500
17,25,9244,56,M,Y,P,J,S,0,2,1,0,26.57,B,1430
282,69,9103,27,F,Y,O,O,S,1,5,2,0,32.99,B,900
2427,69,9103,21,F,Y,O,O,S,1,4,3,1,17.63,J,700
280,69,9103,25,F,N,O,O,S,0,6,3,0,17.68,B,1200
483,484,A279,23,M,Y,S,P,S,0,7,3,0,72.47,B,1200
250,69,9103,25,F,Y,O,O,S,0,1,1,0,5.59,B,820
