HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime
101,69,9103,20,M,Y,G,P,S,1,6,3,0,8.77,B,1405
46,69,9103,33,F,Y,P,F,S,0,4,2,0,17.57,9,-1
579,278,C026,27,F,Y,O,O,P,1,4,6,1,26.31,P,1830
3380,371,9261,18,M,Y,M,P,S,1,3,4,1,26.2,9,-1
369,69,9103,18,M,Y,O,O,S,0,2,2,1,55.41,B,855
3670,69,9103,25,F,N,O,O,S,1,4,3,0,18.19,9,-1
74,69,9103,23,F,Y,O,O,S,0,2,2,0,6.26,W,945
3622,69,9103,18,M,Y,G,J,S,1,4,4,0,16.25,B,1200
2368,69,9103,28,M,Y,O,O,S,2,5,3,0,21.18,9,-1
48,69,9103,20,F,Y,O,O,S,0,1,1,0,36.75,W,905
385,69,9103,26,M,Y,S,P,S,2,4,4,0,28.07,B,730
3602,5198,9011,20,M,N,O,O,S,1,7,4,0,42.08,B,800
4186,5198,9011,22,M,Y,M,P,S,2,6,3,0,57.29,9,-1
110,25,9244,29,F,N,O,O,P,0,7,1,1,13,9,-1
106,25,9244,39,M,Y,P,F,P,2,6,2,0,4.72,B,1700
5179,5198,9011,23,F,N,P,P,S,0,2,2,0,88.55,B,1000
3684,3684,9998,28,F,N,O,O,P,2,5,4,0,5.87,9,-1
3684,3684,9998,28,F,N,O,O,P,2,5,4,0,5.87,9,-1
3620,5198,9011,24,M,Y,O,O,S,1,6,3,1,31.44,9,-1
3616,38,9031,20,F,Y,S,J,S,3,7,4,0,13.73,9,-1
562,465,550,24,F,Y,O,O,S,0,2,3,0,69.92,9,-1
25,38,9031,40,M,Y,S,F,P,1,2,1,0,12.04,9,-1
76,57,9093,40,F,Y,O,O,S,0,1,2,0,87.9,W,900
544,5198,9011,21,F,Y,O,O,S,2,2,3,1,13.35,9,-1
175,25,9244,19,M,Y,O,O,S,0,7,3,0,35.41,B,700
4039,5198,9011,18,F,Y,O,O,S,3,6,3,0,21.2,B,1025
396,38,9031,20,M,Y,O,O,S,2,5,3,0,27.21,P,700
274,38,9031,36,M,Y,P,F,P,1,5,2,1,5.22,9,-1
122,5198,9011,29,F,Y,P,F,S,2,6,2,0,24.69,9,-1
443,44,C023,36,F,Y,P,F,P,1,6,2,0,12.45,9,-1
