Family?,Home Zone,Cars,Children,Adults,Income,Gender,Age,Status,License,Distance,Employment,Mode
0,280,0,0,4,0,1,32,2,1,4.25,2,1
1,1046,4,0,4,2,1,18,2,1,6.75,0,3
1,3619,3,0,4,2,2,21,2,1,26.0,0,4
0,100,0,0,2,0,1,22,2,0,3.0,0,1
1,497,3,2,4,0,2,20,2,1,4.75,0,3
1,441,1,0,3,0,2,22,2,1,11.0,1,1
1,216,1,0,4,1,1,23,2,1,4.25,0,1
1,461,1,0,3,0,2,21,1,0,14.25,0,1
1,2614,2,1,3,0,1,19,2,1,42.25,0,5
0,287,0,0,3,0,3,26,2,0,9.5,0,1
1,3683,0,1,3,1,2,20,2,0,4.25,0,1
0,69,0,0,1,1,2,18,2,0,0.25,0,10
0,2619,3,0,4,0,1,28,2,0,43.5,3,1
0,583,0,0,2,1,1,21,2,0,15.25,0,1
0,2139,1,0,4,0,2,27,2,1,15.0,0,1
1,2054,1,0,4,0,1,24,2,0,24.5,0,1
0,21,0,0,1,1,1,41,1,1,1.75,0,10
1,312,1,1,5,0,1,20,2,0,11.75,1,1
1,22,1,0,2,0,1,18,2,0,20.0,0,1
0,2558,2,0,2,2,2,61,1,1,39.5,0,3
0,565,2,0,6,1,1,18,2,0,0.5,0,10
0,96,0,0,1,0,1,23,2,1,2.0,0,10
1,2142,2,0,4,2,2,24,2,1,16.0,1,1
0,463,1,0,2,0,1,22,2,1,12.25,0,1
1,561,2,0,3,0,1,23,2,0,1.5,0,1
0,3651,0,0,1,1,1,21,2,0,0.75,0,10
1,517,2,0,5,0,1,19,2,1,5.75,1,1
1,587,1,0,4,0,1,24,2,0,15.25,0,1
0,573,0,0,2,0,2,24,2,1,1.0,0,10
1,3691,1,0,5,0,1,18,2,0,5.5,0,1
1,210,1,0,3,0,1,23,0,0,4.5,0,1
1,3676,2,0,4,0,1,25,2,0,2.5,1,8
1,531,0,0,4,0,1,22,2,0,12.25,0,1
1,46,0,2,2,1,1,37,2,0,0.75,0,1
0,42,0,0,1,1,1,27,2,0,1.0,2,10
1,3855,3,0,5,0,2,24,2,1,6.25,0,3
1,2710,2,0,4,2,1,18,2,0,36.5,0,5
1,250,1,1,3,0,1,18,2,0,13.25,0,1
0,566,1,1,5,0,1,19,2,0,0.25,0,10
0,46,1,0,2,2,1,27,2,1,1.0,0,10
1,528,1,1,4,0,1,19,2,0,11.0,0,1
1,513,1,1,2,2,1,51,1,1,18.0,3,3
1,172,1,1,2,0,1,18,2,0,4.0,0,1
1,505,2,3,3,0,1,19,2,0,10.0,0,8
0,21,0,0,2,0,1,27,2,1,1.75,2,2
1,330,3,0,7,0,2,23,2,0,14.0,0,1
0,68,1,0,3,0,1,27,2,1,0.75,0,10
1,1073,2,2,3,0,2,22,2,1,39.75,0,5
0,100,0,0,2,1,1,25,2,1,3.5,0,2
1,2428,1,0,5,0,1,21,2,1,9.5,2,1
0,99,0,0,2,0,1,33,2,0,3.25,0,2
1,2213,4,0,4,2,1,22,2,1,25.25,0,3
1,3689,1,1,7,0,1,18,2,0,22.25,0,1
0,505,1,0,3,2,2,25,1,1,11.5,3,1
1,3366,2,0,2,2,1,30,0,1,29.0,0,1
1,613,2,0,5,2,1,22,2,1,20.0,0,1
1,3813,2,0,4,0,2,21,2,0,2.75,0,1
0,91,0,0,4,1,1,18,2,1,2.0,0,10
1,338,3,0,4,0,2,20,2,0,12.75,0,1
1,3616,1,1,4,0,1,21,2,0,32.75,2,1
1,47,2,0,3,0,2,19,2,1,0.75,0,10
1,3515,2,0,4,0,1,25,2,1,30.0,0,5
0,454,1,0,2,2,1,21,2,1,18.0,0,3
1,2219,2,0,4,0,2,19,2,1,26.25,0,8
1,329,2,0,4,2,2,19,2,1,12.75,0,1
0,562,0,0,1,0,1,19,2,0,0.75,0,10
1,535,2,1,3,1,1,20,2,1,10.0,2,1
0,73,0,0,1,1,2,25,2,1,1.25,0,2
0,203,1,0,2,0,1,25,2,1,2.75,0,1
0,127,2,0,2,0,1,35,1,1,7.75,0,3
0,269,0,0,4,1,2,25,2,1,5.0,0,1
0,76,0,0,5,0,1,22,1,1,1.5,0,2
0,46,0,0,1,2,1,29,2,1,1.0,0,10
1,2216,0,1,3,1,1,43,2,1,27.25,0,1
1,2710,1,0,3,0,2,21,2,1,35.75,0,1
0,185,0,0,2,0,1,32,2,1,3.0,2,2
1,554,2,1,3,0,2,18,2,1,4.5,0,3
0,72,0,0,2,2,1,22,2,0,1.5,0,10
1,109,1,1,3,0,1,18,2,0,4.0,0,1
1,193,1,2,2,2,2,34,2,1,7.0,0,1
1,346,1,2,3,0,1,21,2,0,14.25,0,1
1,3620,1,0,4,1,1,20,2,0,10.75,2,1
0,68,0,0,3,0,2,22,2,0,0.75,0,2
1,468,1,1,4,0,1,18,2,0,14.25,0,1
1,3654,2,0,4,2,1,25,2,1,17.25,0,1
0,66,0,0,2,1,1,25,1,1,1.75,0,10
0,105,1,0,2,0,1,32,2,1,4.25,0,1
0,3669,0,0,3,1,2,21,2,1,8.0,2,1
0,1189,0,1,3,0,1,18,2,1,32.75,0,10
1,46,0,0,2,1,2,24,2,0,1.0,0,10
0,65,0,0,2,0,2,26,2,1,2.0,0,1
0,295,2,1,2,2,1,41,2,1,14.25,0,5
0,326,2,1,2,0,2,39,1,1,14.5,2,1
1,2427,2,0,4,0,1,20,2,0,9.5,0,8
0,3631,0,1,2,0,2,19,2,0,0.25,0,10
1,503,1,0,3,0,1,21,2,0,13.0,0,1
1,578,1,0,7,0,1,27,2,0,3.25,0,2
1,3655,2,0,3,0,1,21,2,1,2.0,2,8
0,73,0,0,4,0,1,20,2,1,0.5,0,2
1,2098,1,3,5,0,1,19,2,0,28.75,0,1
0,46,0,0,2,0,1,23,2,1,0.75,0,10
0,72,0,0,2,2,1,25,2,1,1.0,0,10
0,67,2,0,2,0,2,25,2,1,1.25,0,10
1,401,1,0,4,1,2,20,2,1,14.5,1,1
0,68,0,0,4,0,2,22,2,1,0.5,0,10
0,91,1,1,2,1,1,34,2,1,2.0,0,2
0,105,0,0,4,0,3,24,1,0,3.5,0,1
1,366,1,0,2,0,1,22,2,1,16.25,0,1
1,116,1,1,3,1,1,19,1,0,20.75,0,1
1,579,3,0,4,0,2,22,2,1,19.0,1,1
1,92,0,0,2,0,1,18,2,1,1.75,0,1
1,278,1,0,3,0,2,24,2,0,3.75,0,1
1,3682,3,1,4,2,2,20,2,1,16.75,0,1
0,524,0,0,2,2,1,21,2,0,13.0,0,1
0,109,0,0,2,1,1,23,2,0,4.0,0,1
0,2135,2,1,2,2,1,52,1,1,24.75,3,5
1,499,1,0,6,1,1,22,2,0,15.5,0,1
1,164,2,0,4,0,1,22,2,0,5.25,0,1
0,223,0,0,4,1,1,25,2,1,13.75,0,1
1,22,0,0,3,2,2,22,0,0,1.75,0,10
0,147,0,0,2,1,2,18,2,0,5.0,2,2
1,177,2,0,4,2,1,20,2,0,23.0,2,1
1,3380,2,2,3,0,2,18,2,1,31.5,0,5
1,3607,2,0,4,2,1,19,2,1,5.75,0,1
0,40,0,0,2,0,2,23,2,1,1.0,1,10
1,173,1,0,3,0,1,21,1,0,3.5,0,1
0,84,1,0,2,0,1,29,2,1,3.0,1,1
1,563,2,0,4,0,1,23,2,0,1.5,0,8
0,73,1,0,2,1,1,28,2,1,0.75,0,10
1,3638,1,0,3,0,2,23,1,1,10.5,0,1
1,619,1,0,5,0,1,22,2,1,4.0,0,1
0,70,0,0,1,0,1,18,2,1,0.5,0,10
1,65,3,0,3,0,1,18,2,1,2.0,0,1
0,119,0,0,1,0,1,26,2,0,5.75,1,2
1,2425,2,0,4,0,2,28,2,1,20.25,0,1
0,71,0,0,1,0,2,52,2,1,1.25,0,10
1,3607,1,3,3,2,1,19,2,1,5.0,0,1
0,42,1,0,2,0,1,24,0,1,1.0,3,1
0,116,0,0,1,1,1,27,2,1,4.5,0,2
0,38,4,1,2,0,1,41,2,1,1.25,0,1
0,3838,1,0,3,0,1,19,2,0,3.75,0,1
0,2428,1,0,1,0,2,18,2,0,9.25,1,1
0,562,0,0,6,0,2,21,2,0,1.75,0,10
0,8415,0,0,2,0,2,32,2,1,67.0,0,1
1,542,0,0,3,1,1,19,2,0,11.5,2,1
0,47,0,0,1,0,1,19,2,1,0.5,0,10
1,3689,2,0,5,0,1,18,2,0,6.0,0,1
1,4031,1,0,3,0,2,20,2,1,10.25,0,1
0,70,0,1,0,0,1,17,2,0,0.25,0,10
1,263,2,0,3,0,1,19,2,0,5.5,0,1
1,3677,2,1,6,1,1,22,2,1,1.75,1,8
1,257,1,2,2,2,1,45,2,1,6.75,0,2
1,3809,2,0,4,0,1,21,2,0,7.0,0,1
1,287,2,0,2,0,2,22,2,1,9.0,0,2
1,561,4,1,6,2,1,21,2,0,0.75,0,1
0,90,0,0,2,0,2,28,2,0,2.5,0,10
0,35,1,0,2,0,1,26,2,1,2.25,0,10
0,41,0,0,1,0,1,40,1,1,1.5,3,10
0,270,0,0,2,0,1,50,0,1,4.25,0,1
0,47,0,0,1,1,1,30,2,1,0.75,0,2
1,532,1,0,3,1,2,18,2,1,13.5,0,1
0,100,0,0,2,0,1,32,2,0,2.75,0,2
1,2410,3,0,4,0,1,27,2,1,24.0,0,1
0,44,0,0,1,0,2,18,2,0,1.5,0,10
0,95,1,0,1,0,1,55,2,1,2.0,3,2
0,70,0,0,2,0,1,24,2,1,0.75,0,10
1,567,2,2,4,0,1,21,2,0,0.75,2,10
1,2711,2,0,5,2,1,31,2,1,36.75,0,1
0,252,0,0,1,0,2,55,2,1,8.0,0,10
1,177,2,0,5,2,1,22,2,1,6.0,0,1
0,71,1,0,6,0,1,20,2,0,0.75,0,10
1,3376,2,0,8,0,2,18,2,0,34.0,0,5
1,559,1,2,2,2,2,38,2,1,19.75,0,1
1,2097,2,0,5,2,1,23,2,1,21.5,0,1
0,64,0,0,2,0,1,31,1,1,2.5,3,10
0,566,0,0,4,1,2,19,2,1,0.0,0,10
0,68,0,0,2,1,1,26,1,1,0.75,0,10
1,377,1,2,4,2,1,23,2,0,18.75,0,1
1,390,2,0,5,0,1,19,2,0,26.5,0,1
0,106,1,0,1,0,1,41,0,1,4.25,0,2
1,620,2,1,7,0,2,49,2,1,2.5,1,1
0,47,0,0,2,1,1,19,2,0,0.75,2,10
0,167,1,0,2,1,3,21,1,0,2.75,0,2
0,93,0,0,3,0,1,19,2,1,1.75,0,10
1,3479,1,1,3,2,1,18,2,0,13.5,0,1
0,3633,0,0,2,0,1,22,2,1,2.25,0,1
0,46,0,0,2,1,1,23,2,0,1.0,0,10
1,538,0,1,4,0,2,20,2,0,9.25,0,1
0,70,0,0,6,0,2,18,2,0,0.75,1,10
0,498,0,0,1,0,1,23,2,0,5.75,1,1
0,125,1,0,2,1,1,27,2,0,6.25,0,2
0,62,1,0,2,1,1,25,2,1,2.75,0,2
1,224,1,0,3,1,2,22,2,1,8.0,0,2
0,65,0,0,1,1,1,26,2,1,1.75,0,10
1,480,2,0,3,2,1,25,2,1,15.25,2,1
1,5009,1,2,2,1,1,19,2,1,48.75,0,5
0,435,0,0,1,1,2,19,2,0,13.0,0,1
0,2762,1,0,2,1,1,27,2,1,46.0,0,5
0,35,0,0,2,1,1,36,2,0,2.25,0,1
1,223,2,2,3,0,1,37,2,1,14.0,0,3
1,2364,4,0,4,0,1,20,1,1,16.75,0,3
1,613,3,0,6,0,2,22,2,1,3.5,2,1
1,168,1,0,3,0,1,21,2,1,2.25,0,8
1,3371,1,2,3,2,1,21,2,0,30.5,0,5
0,65,0,0,2,0,2,30,2,0,2.25,0,1
0,38,0,0,6,0,1,21,2,1,1.0,0,10
0,69,1,0,3,0,1,18,2,0,0.25,0,10
1,3434,2,0,3,0,1,24,2,0,35.75,0,5
0,95,1,0,2,2,1,30,1,0,1.75,3,10
0,498,0,0,3,0,1,20,2,0,6.25,0,1
1,3690,0,2,4,1,2,20,2,0,7.5,0,1
0,173,0,0,2,1,1,29,2,1,3.0,0,1
1,119,1,3,2,0,1,17,2,0,26.75,0,1
0,71,0,0,1,2,1,32,2,1,22.0,0,1
1,520,1,1,4,0,1,20,2,0,7.25,1,1
1,3484,2,0,4,0,1,20,2,1,13.75,0,3
1,578,1,1,4,1,2,19,2,0,43.75,0,1
1,532,2,1,5,2,1,22,2,1,7.75,0,8
1,3325,2,1,3,0,1,24,0,1,27.5,2,4
1,3675,2,0,2,2,2,30,2,1,16.0,0,8
1,478,1,0,3,0,2,18,2,1,14.25,0,1
1,351,1,0,6,1,1,18,2,0,12.75,0,1
1,195,3,0,4,0,1,22,2,1,9.0,0,1
1,3007,2,3,4,2,1,19,2,1,52.25,2,1
1,290,2,1,3,1,2,22,2,0,11.5,0,1
1,223,1,0,3,1,1,18,2,0,8.5,1,1
1,407,0,1,4,1,1,21,2,1,12.75,0,1
0,90,0,0,2,0,1,21,2,0,2.5,0,10
0,79,1,0,1,0,2,28,1,1,2.75,3,1
1,3386,2,1,3,0,1,18,2,0,31.25,0,1
1,133,0,2,1,1,1,26,2,0,12.25,0,1
