,School_Type,PD,Age,Closest_Type,Income_High,Income_Low,Family_True,Family_False,Cars2+,Cars1,Cars0,Licence_True,Licence_False
8673,University,6,43.0,0,1,0,0,1,0,1,0,1,0
9035,College,35,22.0,0,0,1,0,1,0,0,1,1,0
12695,University,16,22.0,0,0,1,1,0,1,0,0,0,1
14891,University,5,25.0,0,0,0,1,0,0,1,0,1,0
8207,University,29,21.0,1,0,0,1,0,1,0,0,1,0
2586,University,46,18.0,0,0,1,0,1,0,0,1,0,1
2095,University,46,28.0,0,0,0,0,0,0,0,0,1,0
7830,University,33,18.0,1,0,1,1,0,1,0,0,0,1
11843,University,1,20.0,1,0,0,0,1,0,0,1,1,0
5861,University,36,20.0,1,0,0,1,0,1,0,0,0,1
14252,University,36,20.0,1,0,0,0,1,0,0,1,0,1
8631,University,11,29.0,0,0,0,0,0,0,0,0,0,0
7084,University,16,17.0,0,0,0,0,0,0,0,0,0,1
9472,College,39,32.0,0,0,0,0,0,0,0,0,1,0
3814,College,43,23.0,0,0,0,0,0,0,0,0,1,0
3690,College,44,19.0,0,0,0,0,0,0,0,0,1,0
1861,College,23,19.0,0,0,0,0,0,0,0,0,0,1
3658,College,46,20.0,0,0,0,0,1,1,0,0,1,0
8176,University,35,20.0,0,0,0,0,0,0,0,0,1,0
7134,University,5,22.0,0,0,0,0,0,0,0,0,1,0
13849,University,16,20.0,0,0,1,1,0,0,1,0,0,1
18,College,16,22.0,0,0,0,0,1,1,0,0,0,1
4434,University,1,20.0,1,1,0,0,1,0,0,1,0,1
11552,University,6,29.0,0,0,0,0,1,0,0,1,1,0
15118,University,11,19.0,1,0,0,1,0,1,0,0,1,0
1003,College,23,18.0,0,0,0,0,0,0,0,0,0,1
2333,University,46,19.0,0,1,0,0,1,0,0,1,0,1
10289,University,13,18.0,0,1,0,1,0,1,0,0,1,0
11619,University,36,22.0,0,0,0,1,0,1,0,0,1,0
10351,University,36,18.0,1,0,1,1,0,1,0,0,1,0
2105,University,46,18.0,0,0,0,0,1,0,1,0,0,1
12273,University,33,23.0,1,0,0,1,0,1,0,0,1,0
2446,University,46,18.0,1,1,0,0,1,0,0,1,1,0
763,College,13,27.0,0,0,0,0,0,0,0,0,0,1
12029,University,36,41.0,1,0,0,1,0,0,0,1,1,0
10476,University,1,46.0,1,0,0,0,1,0,1,0,1,0
13119,University,1,26.0,1,1,0,0,1,0,1,0,1,0
10978,University,36,22.0,1,1,0,1,0,1,0,0,1,0
7112,University,35,20.0,1,0,1,1,0,1,0,0,1,0
752,College,6,29.0,0,0,0,0,0,0,0,0,1,0
9542,College,36,19.0,0,0,0,0,0,0,0,0,0,1
13243,University,1,20.0,1,1,0,0,1,0,0,1,1,0
13629,University,1,22.0,1,1,0,0,1,0,0,1,1,0
10867,University,15,19.0,1,0,1,0,1,0,0,1,0,1
3994,College,36,25.0,1,0,0,0,0,0,0,0,1,0
11517,University,1,26.0,1,0,0,0,1,0,1,0,0,1
9201,College,35,17.0,0,0,0,0,0,0,0,0,0,1
11023,University,1,20.0,1,1,0,0,1,0,1,0,1,0
13207,University,31,24.0,0,1,0,1,0,1,0,0,0,1
7791,University,3,20.0,0,1,0,0,1,0,0,1,1,0
13375,University,3,29.0,1,0,0,0,0,0,0,0,0,1
12780,University,33,20.0,1,0,0,0,0,0,0,0,1,0
13834,University,1,26.0,1,0,0,0,1,0,0,1,1,0
7234,University,8,20.0,1,1,0,1,0,1,0,0,1,0
12365,University,1,20.0,1,1,0,0,1,0,0,1,0,1
13129,University,1,19.0,1,0,1,0,1,0,0,1,0,1
14181,University,16,21.0,0,0,1,1,0,0,1,0,0,1
775,College,29,19.0,1,0,0,1,0,1,0,0,1,0
10441,University,6,25.0,0,0,1,0,1,0,0,1,1,0
15379,University,36,18.0,0,0,1,1,0,0,1,0,0,1
13549,University,1,21.0,1,0,1,0,1,0,0,1,0,1
15525,University,10,22.0,1,0,0,1,0,1,0,0,1,0
10507,University,20,25.0,0,1,0,1,0,1,0,0,1,0
12675,University,13,19.0,0,0,0,0,0,0,0,0,0,1
16288,University,2,28.0,1,1,0,0,1,0,1,0,1,0
11230,University,6,25.0,0,0,1,0,1,0,1,0,1,0
7820,University,1,26.0,1,0,0,0,0,0,0,0,1,0
13197,University,13,21.0,0,1,0,0,1,1,0,0,1,0
6161,University,10,26.0,0,0,0,0,0,0,0,0,0,1
4636,University,1,24.0,1,1,0,0,1,0,1,0,1,0
3861,College,46,28.0,0,0,0,0,0,0,0,0,0,0
14748,University,36,21.0,0,0,0,0,0,0,0,0,1,0
9347,College,36,23.0,1,0,1,1,0,1,0,0,0,1
16874,University,35,23.0,0,0,0,0,0,0,0,0,1,0
14651,University,11,20.0,0,0,0,0,0,0,0,0,0,1
8597,University,16,20.0,0,0,1,1,0,1,0,0,0,1
10959,University,36,18.0,0,0,0,1,0,1,0,0,1,0
4607,University,22,21.0,0,0,0,0,0,0,0,0,0,1
16108,University,11,25.0,1,0,0,0,1,0,1,0,0,1
4254,University,1,36.0,1,0,1,0,1,0,0,1,1,0
9211,College,38,23.0,1,0,0,0,1,1,0,0,1,0
7104,University,35,20.0,0,0,0,1,0,1,0,0,0,1
8439,University,1,18.0,1,0,1,1,0,0,1,0,0,1
10521,University,36,21.0,1,0,0,1,0,1,0,0,1,0
5659,University,13,18.0,0,0,0,1,0,0,1,0,0,1
6394,University,1,26.0,1,0,1,0,1,0,0,1,1,0
2430,University,46,22.0,1,0,0,0,1,1,0,0,1,0
7245,University,20,22.0,0,0,0,1,0,1,0,0,1,0
