,Mode,Licence,Family,Cars,Time.Auto,Time.Transit,Time.Active,Cost.Auto,Cost.Transit
202,Transit,1,Family,1,10.911489999999999,42.701539000000004,73.300215,0.3312323,2.22
203,Transit,0,Family,2,44.27959,156.27863200000002,436.88745,2.443464,3.841265
204,Auto,1,Family,3,35.76352,104.554086,338.0775,4.409725,7.285360000000001
205,Transit,1,Other,0,16.10213,35.075044,93.86652000000001,0.4311647,2.22
206,Active,0,Other,0,0.0,0.0,0.0,0.0,0.0
207,Auto,1,Family,4,79.51396,142.466712,533.96415,2.804373,9.908044
208,Transit,0,Family,3,86.00294,169.58339999999995,608.30745,3.13483,9.396051
209,Transit,1,Other,1,5.530063,33.411738,44.366279999999996,0.2033565,2.22
210,Transit,1,Family,1,32.88884,63.186389,204.17010000000002,1.0441850000000001,4.270448
211,Transit,0,Other,0,4.289724,29.3483,30.6678,0.13821570000000002,2.22
212,Transit,0,Family,1,38.616820000000004,99.631286,246.88935,1.305284,4.290376
213,Active,0,Other,0,0.0,0.0,0.0,0.0,0.0
214,Transit,0,Other,0,6.632627,33.425859,41.7591,0.191554,2.22
215,Transit,0,Other,0,0.0,0.0,0.0,0.0,0.0
216,Transit,0,Family,2,4.58473,33.84206399999999,49.847955,0.23312199999999997,1.98
217,Active,1,Other,2,0.0,0.0,0.0,0.0,0.0
218,Active,0,Other,0,2.924953,24.128386,16.985265000000002,0.1054589,2.22
219,Active,0,Other,0,2.649222,20.927781,23.086634999999998,0.1040484,2.22
220,Transit,1,Family,4,92.96398,122.503764,827.3922000000001,4.0121150000000005,11.818060000000001
221,Transit,1,Other,0,13.0839,43.443395,85.07454,0.38429759999999996,2.22
222,Active,1,Other,0,1.710853,20.776487,15.946485,0.07186870000000001,2.22
223,Transit,0,Other,0,15.91009,71.09102999999998,207.3231,0.9732598,2.470444
224,Transit,0,Family,3,57.6342,118.236507,376.74375,1.9262650000000001,4.44
225,Active,1,Other,0,2.523888,24.493026999999998,28.469009999999997,0.1283061,2.22
226,Transit,0,Family,1,19.19235,51.81050000000001,120.050385,0.5901698000000001,4.431214
227,Active,1,Family,0,11.27827,44.993718,74.18136,0.3438902,2.2784560000000003
228,Active,0,Other,0,1.117177,20.195869,11.101709999999999,0.05003393,2.22
229,Active,1,Other,0,11.34923,39.849031,65.27565,0.3026518,2.22
230,Active,1,Other,0,2.776623,26.813798,23.593725,0.10633379999999999,2.22
231,Transit,0,Family,2,6.472022,36.362017,69.71035499999999,0.3141753,2.22
232,Active,1,Other,1,2.523888,24.493026999999998,28.469009999999997,0.1283061,2.22
233,Transit,1,Other,1,89.91993000000001,113.40996000000001,792.99075,3.7749230000000003,12.585410000000001
234,Transit,1,Other,1,50.17188,155.55116999999998,349.78845,1.751424,4.4154029999999995
235,Transit,0,Family,0,37.882329999999996,107.074827,410.07360000000006,2.349701,4.596826
236,Transit,1,Other,0,13.00131,35.417331,71.57238000000001,0.3367475,2.22
237,Auto,1,Family,4,33.10413,104.383208,285.35805,1.403567,2.848217
238,Transit,1,Family,3,42.1131,118.39803300000001,281.15745000000004,1.433425,5.105772
239,Transit,0,Other,0,9.349833,37.81105,52.358880000000006,0.2458085,2.22
240,Auto,1,Family,3,5.793533999999999,26.869722000000003,74.87325,0.3509334,2.22
241,Transit,1,Family,1,29.582459999999998,62.974813,181.27155000000002,0.8479701999999999,2.22
242,Transit,1,Family,1,14.00681,58.21812900000001,93.22105499999999,0.42523409999999995,2.22
243,Transit,0,Family,1,37.73697,90.440035,243.79395000000002,1.1345299999999998,2.238928
244,Transit,1,Family,2,98.40382,191.70077,811.3719,4.453384,13.00875
245,Transit,0,Other,0,28.61972,65.781362,174.55365,0.9013988000000002,4.44
246,Transit,0,Family,0,27.338929999999998,112.92883,252.7752,1.191042,1.98
247,Active,0,Other,0,0.0,0.0,0.0,0.0,0.0
248,Transit,0,Other,3,69.71825,114.92243,529.3862999999999,2.802652,10.61833
249,Transit,0,Other,0,9.218005,45.254911,150.7788,0.7045564999999999,2.22
250,Transit,1,Other,1,73.77691999999999,167.70800999999997,454.281,2.142668,6.645875
251,Transit,0,Family,1,51.47854,104.64487,388.7920500000001,1.940791,6.9798089999999995
252,Active,1,Other,0,4.289724,29.3483,30.6678,0.13821570000000002,2.22
253,Transit,0,Family,1,31.237240000000003,50.903516,187.5885,0.8581165000000001,2.22
254,Transit,0,Family,1,26.49993,81.48457900000001,325.0632,1.949831,4.44
255,Auto,1,Other,2,92.35351999999999,136.91228999999998,708.0385500000001,3.907036,12.31815
256,Active,0,Other,2,2.649222,20.927781,23.086634999999998,0.1040484,2.22
257,Active,1,Other,0,5.576192,29.470396,31.67763,0.1610188,2.22
258,Transit,1,Family,2,78.49124,190.57783500000002,489.24735000000004,2.463838,8.631753999999999
259,Transit,1,Other,1,32.571740000000005,69.622366,212.3673,0.9928945,2.22
260,Transit,0,Family,2,2.1605119999999998,11.333393,22.923180000000006,0.1160349,2.22
261,Active,0,Other,0,3.6716519999999995,32.570067,47.140125,0.21245429999999996,1.98
262,Transit,1,Family,2,7.629183,42.10006300000001,98.67043500000001,0.4446945,2.22
263,Transit,0,Family,1,42.15467,121.08644699999999,296.78294999999997,1.4046049999999999,2.7753520000000003
264,Active,1,Other,0,3.5996650000000003,21.350601,28.402245,0.14104070000000002,2.248606
265,Transit,0,Family,1,10.57137,51.113878,105.77124,0.5081591,1.98
266,Transit,0,Family,1,13.0839,43.443395,85.07454,0.38429759999999996,2.22
267,Auto,0,Family,2,25.88474,109.56773700000001,231.97665000000003,1.076401,1.98
268,Transit,0,Family,0,35.76266,60.89423000000001,221.07704999999999,1.1229770000000001,2.22
269,Transit,0,Family,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
270,Active,0,Other,0,2.776623,26.813798,23.593725,0.10633379999999999,2.22
271,Auto,1,Family,3,29.16088,117.34191000000001,285.39165,1.427933,7.708403
272,Transit,0,Family,2,93.38274,175.21282000000005,867.0730500000001,4.1611970000000005,11.91967
273,Transit,0,Family,1,18.30487,64.38888,223.7364,1.03253,4.44
274,Active,0,Other,1,0.0,0.0,0.0,0.0,0.0
275,Active,1,Other,1,2.168042,23.855995999999998,19.46616,0.0877314,2.22
276,Transit,0,Family,1,14.23485,62.174552,181.78725,0.8220798,2.22
277,Auto,1,Family,1,46.048140000000004,98.189573,294.91305,1.4987780000000002,4.487292
278,Transit,0,Family,1,11.27827,44.993718,74.18136,0.3438902,2.2784560000000003
279,Auto,0,Family,2,12.84653,55.432228,177.651,0.8110915,2.22
280,Active,1,Other,0,4.289724,29.3483,30.6678,0.13821570000000002,2.22
281,Transit,0,Family,3,8.932961,37.609636,94.252275,0.4247825,1.98
282,Active,1,Other,1,1.464106,25.325449,14.598600000000001,0.06579395,2.22
283,Transit,1,Family,2,78.55301999999999,112.57535,563.77125,2.901365,11.251430000000001
284,Active,1,Other,0,24.1312,81.882162,256.41615,1.315484,4.2
285,Transit,1,Family,1,23.56165,108.22236200000002,220.21485,1.054068,5.22
286,Active,0,Other,0,9.644531,45.354856,60.67656,0.2782196,2.768454
287,Auto,1,Family,4,66.32047,152.42185600000002,412.84095,2.123389,7.086113
288,Transit,0,Family,1,62.9307,108.07673,490.38525,2.418805,10.15739
289,Transit,1,Other,1,33.87375,81.889028,221.18204999999998,1.094027,4.44
290,Transit,1,Family,2,65.48768000000001,162.39424,496.6329,2.60348,6.989275
291,Transit,1,Family,2,53.6249,127.044329,366.55080000000004,1.8364349999999998,4.44
292,Transit,0,Family,2,6.656314,44.190151,59.099565,0.2709268,1.98
